dataset,runs,models,precisions,profiles,batches,seeds,total_evaluated_images,emc_mode_median_MHz,maximum_temperature_median_C,maximum_temperature_max_C
Clone1,126,mobilenet_v2|resnet50,fp16|fp32|fp64,fast|medium|slow,1|4|8|16|32|64|128,42,6300000.0,2133.0,41.39,53.656
Clone2,126,mobilenet_v2|resnet50,fp16|fp32|fp64,fast|medium|slow,1|4|8|16|32|64|128,789,6300000.0,2133.0,40.6405,53.656
Clone3,126,mobilenet_v2|resnet50,fp16|fp32|fp64,fast|medium|slow,1|4|8|16|32|64|128,456,6300000.0,2133.0,39.7025,51.937
MasterJetson,72,mobilenet_v2|resnet50,fp16|fp32|fp64,fast|medium|slow,1|4|8|16,123,3600000.0,3199.0,40.796499999999995,47.5
fixed_2026-03,54,mobilenet_v2|resnet50,fp16|fp32|fp64,fast|medium|slow,32|64|128,123,2700000.0,2133.0,49.734,58.562
random_2026-03,54,mobilenet_v2|resnet50,fp16|fp32|fp64,fast|medium|slow,32|64|128,123,2700000.0,3199.0,41.2025,50.312
