outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
throughput_img_s,Model,1,1,136.31400081190333,136.31400081190333,4510.31673944602,5.651639632466531e-162,0.12977330148904606,0.9474824862118117,0.1297407959686161,natural logarithm
throughput_img_s,Precision,1,2,751.5205952967002,375.7602976483501,12433.043930983922,5.604048398988639e-251,0.7154606878807835,0.9900462205191373,0.7153825594077967,natural logarithm
throughput_img_s,Batch,1,6,50.69025518244584,8.448375863740972,279.53732450375855,8.118348390297857e-108,0.04825800526114257,0.8702797355822423,0.04808398647888189,natural logarithm
throughput_img_s,Profile,1,2,14.779914197507836,7.389957098753918,244.51668212930315,1.4437613366413139e-59,0.014070735578967234,0.6617202793668205,0.014012787300886592,natural logarithm
throughput_img_s,Model:Precision,2,2,52.46677190764586,26.23338595382293,868.002399571149,3.1258229890553386e-113,0.04994928010603424,0.8741191360121746,0.049890299540537544,natural logarithm
throughput_img_s,Model:Batch,2,6,1.6704900266992853,0.2784150044498809,9.212112091229743,4.04059700330013e-09,0.0015903355823913333,0.18106000804510305,0.0014176595092282684,natural logarithm
throughput_img_s,Model:Profile,2,2,0.17839646353830463,0.08919823176915231,2.951364316806571,0.0540924306421695,0.00016983653850261287,0.02306629814043261,0.0001122882131887422,natural logarithm
throughput_img_s,Precision:Batch,2,12,27.421168831936008,2.285097402661334,75.60861690729601,5.554229707848391e-76,0.026105430027831177,0.7839805885161724,0.025759418296775444,natural logarithm
throughput_img_s,Precision:Profile,2,4,1.7377396185170382,0.43443490462925954,14.3744517135314,1.4098141231958945e-10,0.0016543583643653067,0.18698607135563108,0.001539223887981362,natural logarithm
throughput_img_s,Batch:Profile,2,12,0.48822341788349055,0.04068528482362421,1.3461824911318818,0.1929029746202406,0.0004647971919658755,0.06069485473830628,0.00011952318600365122,natural logarithm
throughput_img_s,Model:Precision:Batch,3,12,3.061073504702566,0.2550894587252138,8.440323436270887,2.163382703798362e-13,0.002914195258299603,0.2883248752521668,0.0025688507789434854,natural logarithm
throughput_img_s,Model:Precision:Profile,3,4,0.33124622903258105,0.08281155725814526,2.740043947770253,0.02928171601131533,0.0003153521757949973,0.041999419098550456,0.0002002562249214015,natural logarithm
throughput_img_s,Model:Batch:Profile,3,12,0.22842430495082403,0.019035358745902002,0.6298362360552537,0.8160059390405257,0.00021746391432464317,0.029344977871001165,0.0,natural logarithm
throughput_img_s,Precision:Batch:Profile,3,24,1.1339541479388842,0.04724808949745351,1.5633306021240292,0.04943500636720686,0.0010795440867316763,0.1304950716638884,0.00038899176049645275,natural logarithm
throughput_img_s,Model:Precision:Batch:Profile,4,24,0.7081296614062086,0.029505402558592023,0.9762659027794466,0.4982615601248741,0.0006741517635434214,0.08569048371247485,0.0,natural logarithm
throughput_img_s,Device block,0,2,0.11490122718693145,0.057450613593465726,1.9009086567681928,0.15158636870223374,0.0001093879682818975,0.014979472384312268,5.184138217732811e-05,natural logarithm
throughput_img_s,Device-by-configuration residual,-1,250,7.555677831876954,0.030222711327507815,,,0.007193136811993912,,,natural logarithm
task_energy_per_eval_image_J,Model,1,1,91.37159605488333,91.37159605488333,9541.15332805228,3.9479963247498706e-201,0.18149711260714407,0.9744667464982154,0.18147463794102858,natural logarithm
task_energy_per_eval_image_J,Precision,1,2,334.31751396696836,167.15875698348418,17454.957551010342,3.0656591425764736e-269,0.6640757751736834,0.9928896301576783,0.6640250986100977,natural logarithm
task_energy_per_eval_image_J,Batch,1,6,8.87838320607539,1.4797305343458984,154.5155882350421,3.8793400187255587e-81,0.017635687523226987,0.7876124592025793,0.017521218895721478,natural logarithm
task_energy_per_eval_image_J,Profile,1,2,5.2399862704330324,2.6199931352165162,273.5834471637118,1.1190365439202344e-63,0.01040851226472414,0.6863893849845244,0.010370269885977038,natural logarithm
task_energy_per_eval_image_J,Model:Precision,2,2,53.53490004148,26.76745002074,2795.095586329174,8.691968483049302e-172,0.1063397182577879,0.9571931821049952,0.10629965105712483,natural logarithm
task_energy_per_eval_image_J,Model:Batch,2,6,0.16278298689639176,0.02713049781606529,2.833005558685674,0.010976351201464596,0.0003233460219466383,0.06366351519038055,0.0002092067131425999,natural logarithm
task_energy_per_eval_image_J,Model:Profile,2,2,0.0041333385069366796,0.0020666692534683398,0.21580457250488103,0.8060427483866281,8.210308638872e-06,0.0017234611336935642,0.0,natural logarithm
task_energy_per_eval_image_J,Precision:Batch,2,12,5.141950047666448,0.42849583730553736,44.74415092528939,2.427799637411257e-55,0.010213776787493798,0.6823096590413351,0.009985316182953195,natural logarithm
task_energy_per_eval_image_J,Precision:Profile,2,4,0.6163179789786426,0.15407949474466065,16.089202197853737,9.758238550786734e-12,0.0012242309258262741,0.20472535345692988,0.001148118866233582,natural logarithm
task_energy_per_eval_image_J,Batch:Profile,2,12,0.09786080612724826,0.008155067177270688,0.8515638305384255,0.5971782469533506,0.00019438703619486372,0.03926990403058854,0.0,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Batch,3,12,0.6210743465376191,0.05175619554480159,5.40445629375888,3.7516069424003394e-08,0.0012336787960148827,0.2059798622738567,0.0010053890126315134,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Profile,3,4,0.04135659131838098,0.010339147829595245,1.0796286699896713,0.3670869611753232,8.214918241168962e-05,0.016980732548682983,6.0588477183527486e-06,natural logarithm
task_energy_per_eval_image_J,Model:Batch:Profile,3,12,0.0683438641146431,0.005695322009553592,0.5947137063594883,0.8457422120752278,0.00013575568926006294,0.02775398547790446,0.0,natural logarithm
task_energy_per_eval_image_J,Precision:Batch:Profile,3,24,0.24916857737240644,0.010382024057183602,1.0841058672721096,0.36221560109470613,0.0004949391200122808,0.09426374307229479,3.8397072970411206e-05,natural logarithm
task_energy_per_eval_image_J,Model:Precision:Batch:Profile,4,24,0.16151609636196068,0.006729837348415028,0.7027392842685151,0.8474030284100791,0.00032082951808858545,0.06319935501674998,0.0,natural logarithm
task_energy_per_eval_image_J,Device block,0,2,0.5317519178488966,0.2658759589244483,27.763149598671312,1.2924868759708535e-11,0.0010562520726344255,0.18173983497727508,0.001018187594385767,natural logarithm
task_energy_per_eval_image_J,Device-by-configuration residual,-1,250,2.3941444213625225,0.00957657768545009,,,0.00475563871491086,,,natural logarithm
task_throughput_img_s,Model,1,1,69.47723585661033,69.47723585661033,2549.039268781287,3.882042590153287e-133,0.12607544105244167,0.9106836396372349,0.12601974813389058,natural logarithm
task_throughput_img_s,Precision,1,2,372.33413965454946,186.16706982727473,6830.254049298378,6.677700021144935e-219,0.6756485098617013,0.9820279749504464,0.6755161788747189,natural logarithm
task_throughput_img_s,Batch,1,6,12.603444650828006,2.1005741084713345,77.06762975616036,4.819862454492237e-54,0.022870582335955087,0.6490764006527088,0.022572705987215756,natural logarithm
task_throughput_img_s,Profile,1,2,13.642930880048187,6.8214654400240935,250.27166183096583,2.0918489431916238e-60,0.024756864701697835,0.6669079690426933,0.02465672521277853,natural logarithm
task_throughput_img_s,Model:Precision,2,2,65.83059303091754,32.91529651545877,1207.6240847382744,3.351925566296454e-129,0.11945813544231645,0.9062001044168807,0.11935331226173158,natural logarithm
task_throughput_img_s,Model:Batch,2,6,0.11205605868735471,0.018676009781225786,0.6852011558827513,0.6617580093874205,0.00020334022860039254,0.016178770644867037,0.0,natural logarithm
task_throughput_img_s,Model:Profile,2,2,0.04859202860746249,0.024296014303731246,0.8913926089820164,0.41138353866171185,8.817652807838095e-05,0.007080647775107843,0.0,natural logarithm
task_throughput_img_s,Precision:Batch,2,12,6.406160812315424,0.5338467343596186,19.586218026891302,8.375282403171501e-30,0.011624808326174813,0.48457287049864106,0.01103074293967547,natural logarithm
task_throughput_img_s,Precision:Profile,2,4,1.1364029059919867,0.28410072649799667,10.423326420574403,7.987198714093786e-08,0.0020621502254624404,0.14293542179438476,0.001864218085888778,natural logarithm
task_throughput_img_s,Batch:Profile,2,12,0.21614046402773177,0.018011705335644314,0.66082859561412,0.7881093734763366,0.00039221485995521245,0.03074456207218497,0.0,natural logarithm
task_throughput_img_s,Model:Precision:Batch,3,12,0.945437135567285,0.07878642796394042,2.890582739094168,0.0009264778291759192,0.001715618106914968,0.12184256301823929,0.0011220428045642264,natural logarithm
task_throughput_img_s,Model:Precision:Profile,3,4,0.11178931684230248,0.02794732921057562,1.0253551215298908,0.3947095031062215,0.00020285619098220765,0.016140879804108006,5.016007513305396e-06,natural logarithm
task_throughput_img_s,Model:Batch:Profile,3,12,0.2079864706938363,0.017332205891153026,0.6358985484444531,0.8106632737140931,0.00037741838319221626,0.029619063781419125,0.0,natural logarithm
