dataset,prefix,model,precision,batch,profile,samples,gpu_active_mean_percent,gpu_active_p95_percent,emc_bandwidth_mean_percent,emc_bandwidth_p95_percent,cpu_mean_across_cores_percent,cpu_p95_across_cores_percent,fan_fields,throttle_fields,forward_time_fraction_of_meta_duration
Clone2,resnet50_fp64_slow_BS4,resnet50,fp64,4,slow,45921,96.64889701879315,99.0,3.466649245443261,4.0,1.3859998693408246,4.166666666666667,0,0,0.9763660079771675
Clone2,resnet50_fp64_slow_BS64,resnet50,fp64,64,slow,46436,96.8413300025842,99.0,11.313119131708158,25.0,1.2466764292072245,1.8333333333333333,0,0,0.9771580013854912
Clone2,resnet50_fp64_slow_BS8,resnet50,fp64,8,slow,44580,96.82736653207716,99.0,5.086630776132795,9.0,1.33083221175415,5.5,0,0,0.9776167497863196
Clone3,mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,1,fast,2207,10.228817399184413,15.0,3.7752605346624377,4.0,20.62256456728591,22.833333333333332,0,0,0.661962445523853
Clone3,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,128,fast,795,16.950943396226414,99.0,12.355974842767296,18.0,21.338784067085957,26.833333333333332,0,0,0.1607655500497435
Clone3,mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,16,fast,1193,20.19446772841576,99.0,7.777870913663034,9.0,23.181195864766693,27.73333333333331,0,0,0.1900943832823091
Clone3,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,32,fast,1188,18.596801346801346,99.0,7.981481481481482,10.0,22.163299663299664,27.549999999999955,0,0,0.1874774313174538
Clone3,mobilenet_v2_fp16_fast_BS4,mobilenet_v2,fp16,4,fast,1040,14.921153846153846,47.0,7.697115384615385,8.0,22.46955128205128,25.666666666666668,0,0,0.3583742793796658
Clone3,mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,64,fast,1206,18.557213930348258,99.0,8.138474295190713,11.0,22.554864566058594,28.958333333333332,0,0,0.1740543952722437
Clone3,mobilenet_v2_fp16_fast_BS8,mobilenet_v2,fp16,8,fast,1252,19.307507987220447,98.0,6.89297124600639,8.0,24.46339190628328,28.90833333333334,0,0,0.2174230789417187
Clone3,mobilenet_v2_fp16_medium_BS1,mobilenet_v2,fp16,1,medium,2267,24.29069254521394,36.0,3.569033965593295,4.0,20.411777679752976,22.5,0,0,0.6578397709472233
Clone3,mobilenet_v2_fp16_medium_BS128,mobilenet_v2,fp16,128,medium,843,17.801897983392646,99.0,11.316725978647687,17.0,22.826018189007513,30.0,0,0,0.1656085172490509
Clone3,mobilenet_v2_fp16_medium_BS16,mobilenet_v2,fp16,16,medium,910,23.232967032967032,99.0,10.035164835164835,11.0,22.726739926739928,26.166666666666668,0,0,0.2403980677962718
Clone3,mobilenet_v2_fp16_medium_BS32,mobilenet_v2,fp16,32,medium,886,20.572234762979683,99.0,10.5,12.0,22.34556057185854,26.5,0,0,0.2036114869640837
Clone3,mobilenet_v2_fp16_medium_BS4,mobilenet_v2,fp16,4,medium,1068,30.838014981273407,97.0,7.154494382022472,8.0,22.613451935081148,25.666666666666668,0,0,0.3642421196781385
Clone3,mobilenet_v2_fp16_medium_BS64,mobilenet_v2,fp16,64,medium,818,16.595354523227385,99.0,11.553789731051344,15.0,21.15770171149144,25.0,0,0,0.1851944183643246
Clone3,mobilenet_v2_fp16_medium_BS8,mobilenet_v2,fp16,8,medium,973,28.236382322713258,99.0,8.87153134635149,10.0,22.88711887632751,26.166666666666668,0,0,0.3005869515144498
Clone3,mobilenet_v2_fp16_slow_BS1,mobilenet_v2,fp16,1,slow,3348,16.224014336917563,27.0,2.9817801672640383,3.0,21.318697729988052,24.441666666666606,0,0,0.6700843846277232
Clone3,mobilenet_v2_fp16_slow_BS128,mobilenet_v2,fp16,128,slow,1217,19.811832374691864,99.0,8.288414133114216,14.0,21.980005477951245,29.366666666666674,0,0,0.1734471337380692
Clone3,mobilenet_v2_fp16_slow_BS16,mobilenet_v2,fp16,16,slow,1238,21.966074313408726,99.0,7.558966074313409,9.0,22.84410339256866,28.0,0,0,0.2094968543412096
Clone3,mobilenet_v2_fp16_slow_BS32,mobilenet_v2,fp16,32,slow,1212,20.363036303630363,99.0,7.867986798679868,10.0,22.05431793179318,27.5,0,0,0.1974921745403196
Clone3,mobilenet_v2_fp16_slow_BS4,mobilenet_v2,fp16,4,slow,1570,21.472611464968153,80.0,5.088535031847134,6.0,23.541825902335454,27.666666666666668,0,0,0.3640691117191146
Clone3,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,64,slow,1208,18.544701986754966,99.0,8.141556291390728,11.0,22.42618653421634,29.166666666666668,0,0,0.1803683385196944
Clone3,mobilenet_v2_fp16_slow_BS8,mobilenet_v2,fp16,8,slow,1289,22.61210240496509,99.0,6.809154383242824,7.0,24.345875355572797,29.599999999999987,0,0,0.2333542419840393
Clone3,mobilenet_v2_fp32_fast_BS1,mobilenet_v2,fp32,1,fast,2978,20.41605104096709,38.0,4.961383478844862,5.0,20.86596149541079,24.0,0,0,0.625778682234509
Clone3,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,128,fast,917,29.262813522355508,99.0,20.332606324972737,31.0,17.984005816066887,26.53333333333332,0,0,0.2745327663582561
Clone3,mobilenet_v2_fp32_fast_BS16,mobilenet_v2,fp32,16,fast,1396,29.345272206303726,99.0,12.349570200573066,14.0,19.6218958930277,24.0,0,0,0.2953890414566961
Clone3,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,32,fast,1383,30.304410701373826,99.0,12.985538684020247,16.0,19.352615087973007,25.5,0,0,0.289604942819178
Clone3,mobilenet_v2_fp32_fast_BS4,mobilenet_v2,fp32,4,fast,993,25.84390735146022,91.0,15.658610271903322,17.0,22.01896609600537,25.166666666666668,0,0,0.3329219833157459
Clone3,mobilenet_v2_fp32_fast_BS64,mobilenet_v2,fp32,64,fast,909,30.3993399339934,99.0,19.652365236523654,25.0,18.18738540520719,22.5,0,0,0.275637793820587
Clone3,mobilenet_v2_fp32_fast_BS8,mobilenet_v2,fp32,8,fast,913,27.916757940854325,99.0,17.940854326396494,20.0,20.62449799196787,23.666666666666668,0,0,0.2884652194670334
Clone3,mobilenet_v2_fp32_medium_BS1,mobilenet_v2,fp32,1,medium,2029,38.451453918186296,63.0,6.93790044356826,7.0,19.934368325940525,22.166666666666668,0,0,0.6229084867010386
Clone3,mobilenet_v2_fp32_medium_BS128,mobilenet_v2,fp32,128,medium,966,30.564182194616976,99.0,19.49585921325052,30.0,20.446342305037955,30.333333333333332,0,0,0.2683991327615455
Clone3,mobilenet_v2_fp32_medium_BS16,mobilenet_v2,fp32,16,medium,1079,33.855421686746986,99.0,15.768303985171455,18.0,19.375965400061784,22.833333333333332,0,0,0.3136736215013127
Clone3,mobilenet_v2_fp32_medium_BS32,mobilenet_v2,fp32,32,medium,941,31.75664187035069,99.0,18.503719447396385,21.0,17.506199078993976,21.833333333333332,0,0,0.3071637171715391
Clone3,mobilenet_v2_fp32_medium_BS4,mobilenet_v2,fp32,4,medium,1197,43.82873851294904,99.0,13.242272347535506,14.0,18.981620718462825,22.0,0,0,0.4358141404029125
Clone3,mobilenet_v2_fp32_medium_BS64,mobilenet_v2,fp32,64,medium,998,28.879759519038075,99.0,18.227454909819638,23.0,20.195557782231127,25.666666666666668,0,0,0.2717556899279291
Clone3,mobilenet_v2_fp32_medium_BS8,mobilenet_v2,fp32,8,medium,1059,37.698772426817754,99.0,15.715769593956562,17.0,18.200188857412652,21.333333333333332,0,0,0.3817668914154923
