dataset,prefix,model,precision,batch,profile,total_images,warmup_images,throughput_img_s,task_time_s,task_throughput_img_s,task_energy_J,task_energy_per_eval_image_J,task_energy_per_processed_image_J,task_edp_Js
fixed_2026-03,mobilenet_v2_fp64_slow_BS32,mobilenet_v2,fp64,32,slow,50000.0,1600,11.832784041118082,5439.0,9.192866335723478,27884.252,0.55768504,0.540392480620155,151662446.628
fixed_2026-03,mobilenet_v2_fp64_slow_BS64,mobilenet_v2,fp64,64,slow,50000.0,3200,11.055812627167414,5919.0,8.447372867038352,30012.204,0.6002440800000001,0.5641391729323308,177642235.476
fixed_2026-03,resnet50_fp16_fast_BS128,resnet50,fp16,128,fast,50000.0,6400,190.9641831991416,975.0,51.282051282051285,7405.413500000001,0.14810827000000001,0.13130165780141845,7220278.162500001
fixed_2026-03,resnet50_fp16_fast_BS32,resnet50,fp16,32,fast,50000.0,1600,179.98460884949463,964.0,51.86721991701245,7231.6255,0.14463251,0.14014778100775194,6971286.982
fixed_2026-03,resnet50_fp16_fast_BS64,resnet50,fp16,64,fast,50000.0,3200,182.8803583873245,967.0,51.70630816959669,7318.266,0.14636532,0.1375613909774436,7076763.222
fixed_2026-03,resnet50_fp16_medium_BS128,resnet50,fp16,128,medium,50000.0,6400,182.5193533052694,1028.0,48.63813229571984,7367.0785,0.14734157,0.13062195921985814,7573356.698
fixed_2026-03,resnet50_fp16_medium_BS32,resnet50,fp16,32,medium,50000.0,1600,154.11175263167948,1094.0,45.703839122486286,7522.107999999999,0.15044216,0.1457772868217054,8229186.151999999
fixed_2026-03,resnet50_fp16_medium_BS64,resnet50,fp16,64,medium,50000.0,3200,167.4215513513107,1054.0,47.43833017077799,7411.197,0.14822394,0.1393082142857143,7811401.638
fixed_2026-03,resnet50_fp16_slow_BS128,resnet50,fp16,128,slow,50000.0,6400,116.4945131552522,1544.0,32.38341968911917,9058.7905,0.18117581,0.16061685283687943,13986772.531999998
fixed_2026-03,resnet50_fp16_slow_BS32,resnet50,fp16,32,slow,50000.0,1600,105.62883894612636,1506.0,33.200531208499335,9068.201,0.18136402,0.1757403294573643,13656710.705999998
fixed_2026-03,resnet50_fp16_slow_BS64,resnet50,fp16,64,slow,50000.0,3200,109.00627574446966,1530.0,32.6797385620915,9078.928500000002,0.18157857000000002,0.17065655075187974,13890760.605000002
fixed_2026-03,resnet50_fp32_fast_BS128,resnet50,fp32,128,fast,50000.0,6400,81.91555782786186,1367.0,36.5764447695684,12610.3065,0.25220613000000003,0.22358699468085108,17238288.9855
fixed_2026-03,resnet50_fp32_fast_BS32,resnet50,fp32,32,fast,50000.0,1600,78.88514055515603,1315.0,38.02281368821293,12287.131,0.24574262,0.2381226937984496,16157577.264999999
fixed_2026-03,resnet50_fp32_fast_BS64,resnet50,fp32,64,fast,50000.0,3200,81.97095605580388,1321.0,37.85011355034065,12230.451,0.24460901999999998,0.2298956954887218,16156425.771
fixed_2026-03,resnet50_fp32_medium_BS128,resnet50,fp32,128,medium,50000.0,6400,80.30939134363891,1422.0,35.16174402250352,12654.2255,0.25308451,0.22436570035460993,17994308.661000002
fixed_2026-03,resnet50_fp32_medium_BS32,resnet50,fp32,32,medium,50000.0,1600,75.09704400854955,1435.0,34.84320557491289,12723.4635,0.25446926999999997,0.24657874999999999,18258170.1225
fixed_2026-03,resnet50_fp32_medium_BS64,resnet50,fp32,64,medium,50000.0,3200,78.89520464446316,1409.0,35.486160397445,12397.0815,0.24794163,0.23302784774436092,17467487.8335
fixed_2026-03,resnet50_fp32_slow_BS128,resnet50,fp32,128,slow,50000.0,6400,46.93183831916484,2245.0,22.271714922048996,15304.3355,0.30608671,0.2713534663120567,34358233.1975
fixed_2026-03,resnet50_fp32_slow_BS32,resnet50,fp32,32,slow,50000.0,1600,44.54200215725865,2160.0,23.14814814814815,15085.516500000002,0.30171033,0.2923549709302326,32584715.640000004
fixed_2026-03,resnet50_fp32_slow_BS64,resnet50,fp32,64,slow,50000.0,3200,46.78362440866643,2158.0,23.169601482854496,14917.2645,0.29834529,0.2803997086466165,32191456.790999997
fixed_2026-03,resnet50_fp64_fast_BS128,resnet50,fp64,128,fast,50000.0,6400,2.231345344056664,27263.0,1.8339874555258042,176718.34900000002,3.53436698,3.133304060283688,4817872348.787001
fixed_2026-03,resnet50_fp64_fast_BS32,resnet50,fp64,32,fast,50000.0,1600,2.3033465262598707,23109.0,2.1636591804059027,164064.0165,3.28128033,3.179535203488372,3791355357.2985
fixed_2026-03,resnet50_fp64_fast_BS64,resnet50,fp64,64,fast,50000.0,3200,2.3016446298361517,23828.0,2.098371663589055,172167.232,3.44334464,3.236226165413534,4102400804.0959997
fixed_2026-03,resnet50_fp64_medium_BS128,resnet50,fp64,128,medium,50000.0,6400,2.4187742055536128,24269.0,2.0602414602991472,161131.68050000002,3.2226336100000004,2.8569446897163124,3910504754.0545006
fixed_2026-03,resnet50_fp64_medium_BS32,resnet50,fp64,32,medium,50000.0,1600,2.298891562893482,23226.0,2.15275983811246,166593.80550000002,3.3318761100000005,3.2285621220930234,3869307726.543
