model,precision,n_runs,median_gpu_active_percent,median_emc_bandwidth_percent,median_cpu_across_cores_percent,median_forward_time_fraction
mobilenet_v2,fp16,63,19.538714991762767,7.867986798679868,22.489428885227895,0.2094968543412096
mobilenet_v2,fp32,63,30.304410701373826,13.044744318181818,19.36930693069307,0.3061030994471308
mobilenet_v2,fp64,63,77.08812647157752,9.71979580260919,6.324653922214898,0.7747201815334239
resnet50,fp16,63,33.57248677248677,13.735112936344969,18.98555996472663,0.3377323730132303
resnet50,fp32,63,53.53109166282819,20.11787072243346,13.567822651448639,0.5264772413126095
resnet50,fp64,63,96.04509317292727,8.618578373406912,1.36132718031669,0.9694367303694076
