progress_percent,slow_cpu_MHz,slow_gpu_MHz,slow_temperature_C,slow_power_W,medium_cpu_MHz,medium_gpu_MHz,medium_temperature_C,medium_power_W,fast_cpu_MHz,fast_gpu_MHz,fast_temperature_C,fast_power_W
0.0,729.0,305.0,44.281,4.26,1190.0,305.0,38.062,4.226,729.0,407.0,38.375,4.146
1.0,729.0,305.0,43.22921,4.4676,813.68,305.0,37.87562,4.6612,729.0,407.0,38.27442,4.541
2.0,729.0,372.32000000000005,43.343959999999996,5.447380000000001,1142.0,812.04,39.351760000000006,11.309759999999999,729.0,407.0,39.027,5.5552600000000005
3.0,729.0,305.0,42.53069,4.89741,1166.9599999999994,335.60000000000076,38.35428,5.84632,729.0,407.0,38.64949,5.198670000000001
4.0,729.0,375.0400000000001,42.15476,5.64228,1190.0,345.79999999999984,38.547039999999996,5.54516,729.0,407.0,38.88696,5.407120000000001
5.0,729.0,305.0,41.7528,5.165200000000001,1190.0,305.0,38.3712,5.678,729.0,407.0,38.74655,5.164899999999998
6.0,729.0,305.0,41.80638,5.107060000000001,1190.0,305.0,38.47372,5.5066,729.0,407.0,38.81696,5.171519999999999
7.0,729.0,305.0,41.36253,4.922599999999999,1190.0,305.0,38.302839999999996,5.32974,729.0,407.0,38.67243,5.392149999999999
8.0,729.0,305.0,41.33832,5.036159999999999,1108.5199999999998,644.3600000000008,38.647,6.1158800000000015,729.0,407.44,38.66964,5.334520000000002
9.0,729.0,308.0600000000002,40.94918,5.233790000000001,811.9799999999981,636.2800000000017,38.6025,5.840220000000001,729.0,407.0,38.91256,5.468340000000001
10.0,729.0,335.5999999999991,40.9029,5.164299999999997,1190.0,305.0,38.306,5.601800000000001,729.0,407.0,38.7779,5.657399999999995
11.0,729.0,342.73999999999944,40.935500000000005,5.405809999999997,1190.0,417.1999999999974,38.422959999999996,6.060799999999999,729.0,407.0,38.67987,4.8981900000000005
12.0,729.0,402.91999999999985,40.96052,5.7740399999999985,1190.0,305.0,38.436,5.625240000000001,729.0,407.0,38.60696,4.993079999999999
13.0,729.0,305.0,40.73051,5.094510000000002,1190.0,437.6000000000015,38.61544,5.793460000000001,729.0,407.0,38.96058,5.946730000000004
14.0,729.0,305.0,40.67956,5.227579999999999,1157.24,418.12000000000023,38.39564,5.7428,729.0,407.0,38.90162,5.661199999999999
15.0,729.0,305.0,40.794799999999995,5.172,1190.0,305.0,38.312,5.665299999999999,729.0,407.95,38.7763,5.5529500000000045
16.0,729.0,379.16000000000037,40.531,5.654160000000002,1190.0,305.0,38.31324,5.54692,729.0,407.88,38.647439999999996,5.178440000000001
