device_block,fast_sequence_index,fast_start_timestamp_utc,fast_metadata_timestamp_utc,fast_prefix,model,precision,batch,realized_fast_regime,fast_cpu_mode_MHz,fast_gpu_mode_MHz,immediate_predecessor_sequence_index,immediate_predecessor_start_timestamp_utc,immediate_predecessor_prefix,immediate_predecessor_profile,immediate_predecessor_fast_regime,immediate_predecessor_state,expected_regime_from_immediate_predecessor,immediate_rule_match,last_nonfast_sequence_index,last_nonfast_start_timestamp_utc,last_nonfast_prefix,last_nonfast_profile,expected_regime_from_last_nonfast,last_nonfast_rule_match
Clone1,32,2026-07-03T18:51:02.767627716+00:00,2026-07-03T19:28:45+00:00,resnet50_fp32_fast_BS128,resnet50,fp32,128,low,729.0,407.0,31,2026-07-03T18:30:43.440893173+00:00,mobilenet_v2_fp16_slow_BS64,slow,not_applicable,slow,low,True,31,2026-07-03T18:30:43.440893173+00:00,mobilenet_v2_fp16_slow_BS64,slow,low,True
Clone1,35,2026-07-04T02:12:57.461667538+00:00,2026-07-04T02:36:22+00:00,resnet50_fp32_fast_BS8,resnet50,fp32,8,high,1190.0,815.0,34,2026-07-04T01:54:35.343367577+00:00,mobilenet_v2_fp32_medium_BS16,medium,not_applicable,medium,high,True,34,2026-07-04T01:54:35.343367577+00:00,mobilenet_v2_fp32_medium_BS16,medium,high,True
Clone1,43,2026-07-04T19:25:16.750526190+00:00,2026-07-04T19:45:21+00:00,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,32,low,729.0,407.0,42,2026-07-04T17:51:25.514037132+00:00,mobilenet_v2_fp64_slow_BS16,slow,not_applicable,slow,low,True,42,2026-07-04T17:51:25.514037132+00:00,mobilenet_v2_fp64_slow_BS16,slow,low,True
Clone1,45,2026-07-04T21:33:41.600612640+00:00,2026-07-05T11:36:45+00:00,resnet50_fp64_fast_BS1,resnet50,fp64,1,low,729.0,407.0,44,2026-07-04T19:45:26.842887402+00:00,mobilenet_v2_fp64_slow_BS128,slow,not_applicable,slow,low,True,44,2026-07-04T19:45:26.842887402+00:00,mobilenet_v2_fp64_slow_BS128,slow,low,True
Clone1,46,2026-07-05T11:36:52.863171339+00:00,2026-07-06T00:39:15+00:00,resnet50_fp64_fast_BS64,resnet50,fp64,64,low,729.0,407.0,45,2026-07-04T21:33:41.600612640+00:00,resnet50_fp64_fast_BS1,fast,low,fast-low,low,True,44,2026-07-04T19:45:26.842887402+00:00,mobilenet_v2_fp64_slow_BS128,slow,low,True
Clone1,54,2026-07-06T11:20:02.594511271+00:00,2026-07-06T11:55:20+00:00,resnet50_fp32_fast_BS32,resnet50,fp32,32,low,729.0,407.0,53,2026-07-06T10:58:12.447437525+00:00,mobilenet_v2_fp16_slow_BS8,slow,not_applicable,slow,low,True,53,2026-07-06T10:58:12.447437525+00:00,mobilenet_v2_fp16_slow_BS8,slow,low,True
Clone1,56,2026-07-06T13:32:51.334842682+00:00,2026-07-07T02:52:24+00:00,resnet50_fp64_fast_BS128,resnet50,fp64,128,low,729.0,407.0,55,2026-07-06T11:55:26.822927952+00:00,mobilenet_v2_fp64_slow_BS64,slow,not_applicable,slow,low,True,55,2026-07-06T11:55:26.822927952+00:00,mobilenet_v2_fp64_slow_BS64,slow,low,True
Clone1,57,2026-07-07T02:52:56.872400045+00:00,2026-07-07T03:16:49+00:00,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,128,low,729.0,407.0,56,2026-07-06T13:32:51.334842682+00:00,resnet50_fp64_fast_BS128,fast,low,fast-low,low,True,55,2026-07-06T11:55:26.822927952+00:00,mobilenet_v2_fp64_slow_BS64,slow,low,True
Clone1,61,2026-07-07T04:20:01.768978596+00:00,2026-07-07T05:11:38+00:00,mobilenet_v2_fp64_fast_BS64,mobilenet_v2,fp64,64,high,1190.0,815.0,60,2026-07-07T03:56:42.620687246+00:00,resnet50_fp32_medium_BS128,medium,not_applicable,medium,high,True,60,2026-07-07T03:56:42.620687246+00:00,resnet50_fp32_medium_BS128,medium,high,True
Clone1,62,2026-07-07T05:11:44.323430300+00:00,2026-07-07T05:27:21+00:00,resnet50_fp16_fast_BS32,resnet50,fp16,32,high,1190.0,815.0,61,2026-07-07T04:20:01.768978596+00:00,mobilenet_v2_fp64_fast_BS64,fast,high,fast-high,high,True,60,2026-07-07T03:56:42.620687246+00:00,resnet50_fp32_medium_BS128,medium,high,True
Clone1,64,2026-07-07T05:43:31.239201784+00:00,2026-07-07T06:05:06+00:00,resnet50_fp32_fast_BS64,resnet50,fp32,64,high,1190.0,815.0,63,2026-07-07T05:27:27.370314121+00:00,mobilenet_v2_fp16_medium_BS8,medium,not_applicable,medium,high,True,63,2026-07-07T05:27:27.370314121+00:00,mobilenet_v2_fp16_medium_BS8,medium,high,True
Clone1,65,2026-07-07T06:05:12.462119579+00:00,2026-07-07T06:42:30+00:00,mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,1,high,1190.0,815.0,64,2026-07-07T05:43:31.239201784+00:00,resnet50_fp32_fast_BS64,fast,high,fast-high,high,True,63,2026-07-07T05:27:27.370314121+00:00,mobilenet_v2_fp16_medium_BS8,medium,high,True
Clone1,66,2026-07-07T06:42:36.080649614+00:00,2026-07-07T07:07:49+00:00,resnet50_fp32_fast_BS4,resnet50,fp32,4,high,1190.0,815.0,65,2026-07-07T06:05:12.462119579+00:00,mobilenet_v2_fp16_fast_BS1,fast,high,fast-high,high,True,63,2026-07-07T05:27:27.370314121+00:00,mobilenet_v2_fp16_medium_BS8,medium,high,True
Clone1,82,2026-07-08T09:18:17.037294626+00:00,2026-07-08T09:32:11+00:00,mobilenet_v2_fp16_fast_BS8,mobilenet_v2,fp16,8,high,1190.0,815.0,81,2026-07-08T09:01:58.977513552+00:00,resnet50_fp16_medium_BS128,medium,not_applicable,medium,high,True,81,2026-07-08T09:01:58.977513552+00:00,resnet50_fp16_medium_BS128,medium,high,True
Clone1,83,2026-07-08T09:32:14.661540270+00:00,2026-07-08T09:47:05+00:00,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,32,high,1190.0,815.0,82,2026-07-08T09:18:17.037294626+00:00,mobilenet_v2_fp16_fast_BS8,fast,high,fast-high,high,True,81,2026-07-08T09:01:58.977513552+00:00,resnet50_fp16_medium_BS128,medium,high,True
Clone1,84,2026-07-08T09:47:11.161660194+00:00,2026-07-08T10:03:03+00:00,resnet50_fp16_fast_BS16,resnet50,fp16,16,high,1190.0,815.0,83,2026-07-08T09:32:14.661540270+00:00,mobilenet_v2_fp32_fast_BS32,fast,high,fast-high,high,True,81,2026-07-08T09:01:58.977513552+00:00,resnet50_fp16_medium_BS128,medium,high,True
Clone1,85,2026-07-08T10:03:08.258580446+00:00,2026-07-08T10:20:34+00:00,mobilenet_v2_fp16_fast_BS4,mobilenet_v2,fp16,4,high,1190.0,815.0,84,2026-07-08T09:47:11.161660194+00:00,resnet50_fp16_fast_BS16,fast,high,fast-high,high,True,81,2026-07-08T09:01:58.977513552+00:00,resnet50_fp16_medium_BS128,medium,high,True
Clone1,87,2026-07-08T23:23:23.770039082+00:00,2026-07-09T12:17:25+00:00,resnet50_fp64_fast_BS4,resnet50,fp64,4,low,729.0,407.0,86,2026-07-08T10:20:40.130310059+00:00,resnet50_fp64_slow_BS64,slow,not_applicable,slow,low,True,86,2026-07-08T10:20:40.130310059+00:00,resnet50_fp64_slow_BS64,slow,low,True
