batch,slow_mean,slow_sd,medium_mean,medium_sd,fast_mean,fast_sd
1,4914.0703766666675,204.390135673596,3088.7307800000003,139.29388221009887,4272.898366666666,908.1170676581208
4,4517.954113333333,179.60013705767284,2832.6261900000004,113.47715965979557,3354.285996666667,871.2896767217013
8,4521.878576666666,177.8541404035347,2867.8653733333335,115.95260086490303,4063.522586666666,1090.5002372701279
16,4284.03264,177.91568964260946,2713.23155,119.96941877531653,2718.811913333333,114.22914470119518
32,4998.065099999999,198.10259207177285,3301.016713333334,134.44232365188623,3893.9899799999994,1153.8949181440557
64,5204.987163333334,206.55060688564356,3463.593516666667,143.5797832664769,4626.6704666666665,1097.0018233173728
128,5004.472986666667,149.02218319832147,3249.900593333333,170.4484124911376,3878.45669,863.9212733710884
