analysis_grid,precision_levels,n_runs,outcome,Model,Precision,Batch,Profile,Two-way interactions,Higher-order interactions,Device block,Residual
full_fp16_fp32_fp64,fp16|fp32|fp64,378,throughput_img_s,12.977330148904606,71.54606878807836,4.825800526114257,1.4070735578967235,7.9934037811090555,0.5200707198694341,0.01093879682818975,0.7193136811993912
full_fp16_fp32_fp64,fp16|fp32|fp64,378,task_energy_per_eval_image_J,18.149711260714408,66.40757751736834,1.7635687523226986,1.0408512264724141,11.830366933788834,0.22673523057875014,0.10562520726344256,0.47556387149108603
full_fp16_fp32_fp64,fp16|fp32|fp64,378,task_throughput_img_s,12.607544105244168,67.56485098617013,2.2870582335955087,2.4756864701697836,13.38288256105877,0.429021714096454,0.016456333557361445,1.236499596107823
full_fp16_fp32_fp64,fp16|fp32|fp64,378,time_weighted_avg_power_W,15.207398221289797,25.99956434325038,3.6424594294105885,20.55523372445058,13.995099601600955,5.251116644931004,2.319193895370593,13.02993413969616
practical_fp16_fp32,fp16|fp32,252,throughput_img_s,20.656093693456878,11.60191364092196,50.99421631316011,4.614918879188816,8.17472458367366,1.2902285125442374,0.057135909760459735,2.6107684672939473
practical_fp16_fp32,fp16|fp32,252,task_energy_per_eval_image_J,33.81788708058382,17.756196631593916,33.1834447548946,5.179434803115257,6.437268055719893,0.7043993252573209,0.860858529285087,2.0605108195500565
practical_fp16_fp32,fp16|fp32,252,task_throughput_img_s,12.455677854298488,6.220543464948445,47.52336429978892,16.10945120921606,6.380576424838569,2.462230114624952,0.14802487116187357,8.70013176112277
practical_fp16_fp32,fp16|fp32,252,time_weighted_avg_power_W,33.69408587616386,18.972648085962902,5.742983066330715,16.633474032329637,6.649730974911091,3.4365700449707237,1.8180563898191167,13.052451529511766
practical_fp16_fp32_slow_medium,fp16|fp32,168,throughput_img_s,19.90990250918593,11.412420404648017,54.12893777918959,6.323121812650416,7.767869946150345,0.42707011855321714,0.0018826458274383315,0.02879478379498535
practical_fp16_fp32_slow_medium,fp16|fp32,168,task_energy_per_eval_image_J,33.522520949977206,18.46774013708437,33.05476944855818,7.892992307536035,6.134867271462567,0.14540716552813418,0.6405353801476598,0.14116733970577652
practical_fp16_fp32_slow_medium,fp16|fp32,168,task_throughput_img_s,11.686802114943845,6.399776004212915,50.85367314325089,24.829263217476296,5.457461705649251,0.4852164846756716,0.003724743255960911,0.28408258653528534
practical_fp16_fp32_slow_medium,fp16|fp32,168,time_weighted_avg_power_W,38.95770874396926,21.62499756189103,5.997171125871965,21.558754604733938,7.067113048768875,0.8775534709840627,3.4962919567899533,0.42040948699060154
