dataset,source_directory,prefix,model,precision,profile,batch,seed,cuda_device,torch_version,torchvision_version,timestamp_utc,perf_rows_iterations,total_images,perf_nan_cells,perf_nonfinite_cells,perf_duplicate_rows,perf_duplicate_iters,perf_iter_sequence_ok,batch_pattern_ok,row_img_per_s_max_abs_error,latency_avg_ms,latency_p50_ms,latency_p50_conventional_median_ms,latency_p50_higher_minus_conventional_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,latency_max_to_p50_ratio,latency_iterations_gt2x_p50,latency_iterations_gt5x_p50,latency_iterations_gt10x_p50,throughput_img_s_excluding_gt5x_p50_sensitivity,throughput_sensitivity_percent_increase_excluding_gt5x_p50,latency_std_ms,latency_within_run_cv,latency_lag1_autocorrelation,latency_last_vs_first_decile_mean_ratio,throughput_img_s,top1_weighted,inference_time_s,meta_duration_s,inference_time_fraction_of_meta_duration,power_rows,power_nan_cells,power_nonfinite_cells,power_duplicate_rows,power_duplicate_indices,power_index_sequence_ok,power_elapsed_strictly_increasing,power_elapsed_span_s,power_elapsed_dt_min_s,power_elapsed_dt_max_s,avg_power_W,time_weighted_avg_power_W,time_weighted_to_arithmetic_power_ratio,power_std_W,power_within_run_cv,power_lag1_autocorrelation,power_last_vs_first_decile_mean_ratio,energy_J_avg_power_times_meta_duration,energy_per_img_J_avg_power_times_meta_duration,energy_J_integrated_nominal_elapsed,energy_per_img_J_integrated_nominal_elapsed,energy_per_img_J_power_over_throughput_proxy,reported_epi_to_power_over_throughput_ratio,edp_per_img_Js_reported_formula,edp_per_img_Js_power_throughput_proxy,end_to_end_time_per_img_s,end_to_end_edp_per_img_Js,formula_checks_failed,log_lines,log_timestamp_count,log_power_count,log_malformed_timestamp_lines,log_malformed_power_lines,log_replacement_character_lines,log_wall_span_s,log_gap_count_gt1s,log_missing_seconds_from_gaps,log_max_gap_s,log_nonpositive_time_steps,energy_J_integrated_log_timestamps,log_vs_power_csv_max_abs_diff_W,log_vs_power_csv_elapsed_max_abs_diff_s,log_temperature_count,log_start_gpu_or_tj_temp_C,log_end_gpu_or_tj_temp_C,log_time_weighted_mean_gpu_or_tj_temp_C,log_end_minus_start_gpu_or_tj_temp_C,cpu_freq_mode_MHz,cpu_freq_max_MHz,emc_freq_mode_MHz,emc_freq_max_MHz,gpu_freq_mode_MHz,gpu_freq_max_MHz,max_gpu_or_tj_temp_C,log_wall_span_to_meta_duration_ratio,nominal_elapsed_to_log_wall_span_ratio,timestamp_energy_to_nominal_energy_ratio,energy_per_img_J_integrated_log_timestamps
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,fast,128,123,Orin,2.6.0,0.21.0,2026-03-13T16:53:17Z,391,50000.0,0,0,0,0,True,True,1.1368683772161603e-13,317.2100929293574,315.9189760335721,315.9189760335721,0.0,321.39377601561137,322.1179296204355,323.54899198981,1.0241518127591902,0,0,0,403.1310500581727,0.0,6.2445662918655325,0.019685900389229405,0.11220020405620394,0.9936989258455707,403.1310500581727,0.7211,124.02914633537875,787.7591111040092,0.15744552438315496,811,0,0,0,0,True,True,819.0,1.0,2.0,6.521584463625154,6.529163614163615,1.0011621639772872,1.2325094269863315,0.1889892607940274,-0.04349779077952602,0.8321352293308036,5137.437580055068,0.10274875160110136,5347.385,0.1069477,0.016177331075549934,6.35140315304504,0.03392488985558104,0.005131612693824177,0.015755182222080184,0.001618825304566605,,811,811,811,0,0,0,819.0,9,9.0,2.0,0,5347.385,0.0,0.0,811,37.687,38.0,38.33919474969475,0.3130000000000024,1190.0,1190.0,2133.0,2133.0,815.0,815.0,40.656,1.0396579213818398,1.0,1.0,0.1069477
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,fast,32,123,Orin,2.6.0,0.21.0,2026-03-13T16:25:53Z,1563,50000.0,0,0,0,0,True,True,1.1368683772161603e-13,85.83467663757345,85.32083197496831,85.32083197496831,0.0,90.35742079722695,90.6823532807175,253.0145280179568,2.96544843927667,1,0,0,372.6904385138499,0.0,4.46821517193618,0.05205606110456591,0.02841091266618321,1.022105188147991,372.6904385138499,0.72106,134.1595995845273,795.8640207999852,0.16857100720506626,814,0,0,0,0,True,True,821.0,1.0,2.0,6.457002457002457,6.458489646772229,1.0002303220077233,0.5203372617088027,0.08058495643663724,0.70884646389355,0.9898366231825398,5138.895937745359,0.10277791875490719,5302.42,0.1060484,0.017325377282955173,5.932218218186846,0.009102630121932045,0.0014871181567064182,0.015917280415999702,0.0016359449533946927,,814,814,814,0,0,0,821.0,8,8.0,2.0,0,5302.42,0.0,0.0,814,37.375,37.968,38.25605846528624,0.5930000000000035,1190.0,1190.0,2133.0,2133.0,815.0,815.0,39.25,1.0315832586259506,1.0,1.0,0.1060484
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,fast,64,123,Orin,2.6.0,0.21.0,2026-03-13T16:39:35Z,782,50000.0,0,0,0,0,True,True,1.1368683772161603e-13,162.1389463312401,161.1896000104025,161.18955201818608,4.799221642315388e-05,166.40767360513564,166.81366687000263,257.23647995619103,1.5958627600018245,0,0,0,394.34460610844513,0.0,3.8909403474171884,0.023997567737169278,-0.03838389116775813,1.0109520750785985,394.34460610844513,0.72116,126.79265603102976,796.1244981760392,0.1592623469338251,811,0,0,0,0,True,True,818.0,1.0,2.0,6.5861664611590625,6.586979828850855,1.00012349637632,0.8383012323783681,0.12728212038400866,0.8242715261981985,0.9522417989080403,5243.408468794119,0.10486816937588238,5388.1494999999995,0.10776298999999999,0.01670155077345691,6.278948032930275,0.01747257765210396,0.0027079718445060116,0.015922489963520785,0.001669762374380285,,811,811,811,0,0,0,818.0,8,8.0,2.0,0,5388.1494999999995,0.0,0.0,811,38.125,37.843,38.35830562347188,-0.2819999999999965,1190.0,1190.0,2133.0,2133.0,815.0,815.0,40.0,1.027477488601442,1.0,1.0,0.10776298999999999
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_medium_BS128,mobilenet_v2,fp16,medium,128,123,Orin,2.6.0,0.21.0,2026-03-12T13:55:06Z,391,50000.0,0,0,0,0,True,True,1.1368683772161603e-13,354.10912720340036,353.4611200157088,353.4611200157088,0.0,367.70185601199046,370.9459487930871,372.14387199492194,1.0528565970095463,0,0,0,361.12381192086497,0.0,9.689317799458168,0.02736251922106662,0.015073108346201689,0.9890187400784979,361.12381192086497,0.7211,138.45666873652954,870.5529419520171,0.15904451304945558,893,0,0,0,0,True,True,904.0,1.0,2.0,5.8341243001119825,5.837421460176991,1.0005651508084847,1.3704000231032538,0.234893867975516,-0.03736361190716628,0.8863856992289347,5078.914073176239,0.10157828146352478,5277.0289999999995,0.10554058,0.01615546831176684,6.287547937532718,0.03737288266834065,0.005720798783441948,0.017411058839040344,0.0017685854353300312,,893,893,893,0,0,0,904.0,12,12.0,2.0,0,5277.0289999999995,0.0,0.0,893,47.687,48.343,48.808096238938056,0.6560000000000059,729.0,1194.0,2133.0,2133.0,305.0,815.0,51.687,1.0384204755807103,1.0,1.0,0.10554058
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_medium_BS32,mobilenet_v2,fp16,medium,32,123,Orin,2.6.0,0.21.0,2026-03-12T13:24:33Z,1563,50000.0,0,0,0,0,True,True,1.1368683772161603e-13,125.12233751504674,125.0187199912034,125.0187199912034,0.0,132.3038624104811,134.61989118892234,274.4215359853115,2.1950435583136705,1,0,0,255.66788401715075,0.0,5.903836102409331,0.04718450933430938,0.00614949811354592,1.0180791100053042,255.66788401715075,0.72106,195.56621353601804,942.9453275199921,0.20739931343672913,958,0,0,0,0,True,True,970.0,1.0,2.0,5.6533392484342375,5.653973195876288,1.000112136812279,0.564950565840526,0.09993218892657045,0.4791432099606119,1.0103161340926916,5330.789829196448,0.10661579658392897,5484.353999999999,0.10968707999999999,0.02211204301301684,4.821616732617912,0.013724303844799932,0.002766710509021924,0.018858906550399842,0.002010657344572755,,958,958,958,0,0,0,970.0,13,13.0,2.0,0,5484.353999999999,0.0,0.0,958,48.625,48.25,48.64462371134021,-0.375,729.0,1192.0,2133.0,2133.0,305.0,815.0,51.0,1.0286916660917802,1.0,1.0,0.10968707999999999
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_medium_BS64,mobilenet_v2,fp16,medium,64,123,Orin,2.6.0,0.21.0,2026-03-12T13:39:59Z,782,50000.0,0,0,0,0,True,True,1.1368683772161603e-13,195.86329546708214,195.92697598272932,195.92091199592687,0.006063986802445243,204.80220798926888,208.67096735310042,247.69750400446355,1.2642337930346954,0,0,0,326.44512987160005,0.0,5.653514538677769,0.028864594181342823,0.08618445490852236,1.0046686596475711,326.44512987160005,0.72116,153.16509705525823,898.1956461759983,0.1705253167362226,911,0,0,0,0,True,True,923.0,1.0,2.0,5.79832930845225,5.80294474539545,1.0007959942765707,0.8763403957589607,0.15113670665126167,0.6977387553361922,0.9543639026176096,5208.034139946498,0.10416068279892995,5356.118,0.10712236000000001,0.017762033425748745,5.864231887320589,0.020981338447811144,0.003478930400963616,0.017963912923519964,0.0018711334358543614,,911,911,911,0,0,0,923.0,13,13.0,2.0,0,5356.118,0.0,0.0,911,48.156,47.906,48.747404658721564,-0.25,729.0,1192.0,2133.0,2133.0,305.0,815.0,51.218,1.0276157582477765,1.0,1.0,0.10712236000000001
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_slow_BS128,mobilenet_v2,fp16,slow,128,123,Orin,2.6.0,0.21.0,2026-03-11T08:57:28Z,391,50000.0,0,0,0,0,True,True,5.684341886080802e-14,538.4373155193549,539.0835519938264,539.0835519938264,0.0,548.2047839905135,549.9391135905171,554.5214719895739,1.028637341908596,0,0,0,237.49698277935508,0.0,10.886806508025531,0.020219264516473115,0.1685340285386399,0.9936261457700091,237.49698277935508,0.7211,210.52899036806775,1260.0841102080012,0.16707534732210524,1291,0,0,0,0,True,True,1307.0,1.0,2.0,5.030558481797057,5.030595256312165,1.0000073102251452,1.0622461313981104,0.21115868849190803,-0.0737113448107261,0.8939666159486608,6338.926808384557,0.12677853616769114,6574.987999999999,0.13149976,0.021181567963205084,5.985323484452172,0.07080437776583945,0.011404946592598915,0.025201682204160025,0.00319503237880676,,1291,1291,1291,0,0,0,1307.0,17,17.0,2.0,0,6574.987999999999,0.0,0.0,1291,46.437,46.468,46.95668400918133,0.03100000000000591,729.0,729.0,665.0,2133.0,305.0,408.0,49.25,1.0372323477551466,1.0,1.0,0.13149976
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_slow_BS32,mobilenet_v2,fp16,slow,32,123,Orin,2.6.0,0.21.0,2026-03-11T08:13:49Z,1563,50000.0,0,0,0,0,True,True,5.684341886080802e-14,163.47819569543964,162.68227199907415,162.68227199907415,0.0,169.81567361799534,174.7876601445023,349.8967040213756,2.1507979924411615,1,0,0,195.68214060392972,0.0,6.404026653901982,0.039173582915196244,0.012140984837430813,1.0105746930867787,195.68214060392972,0.72106,255.51641987197218,1285.207914240018,0.19881329475244222,1302,0,0,0,0,True,True,1319.0,1.0,2.0,4.946582181259601,4.94630553449583,0.9999440731491698,0.4368422876141539,0.08831194380417956,0.3364648169298576,1.000107820586544,6357.386567793491,0.12714773135586982,6524.177000000001,0.13048354,0.025278659391158885,5.029844715591969,0.021331213687153728,0.0041325096268662355,0.02570415828480036,0.003268225412324552,,1302,1302,1302,0,0,0,1319.0,18,18.0,2.0,0,6524.177000000001,0.0,0.0,1302,46.468,46.437,46.84852160727824,-0.03100000000000591,729.0,729.0,665.0,2133.0,305.0,408.0,47.812,1.0262930887567434,1.0,1.0,0.13048354
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,slow,64,123,Orin,2.6.0,0.21.0,2026-03-11T08:35:37Z,782,50000.0,0,0,0,0,True,True,8.526512829121202e-14,287.25129612339657,287.24624001188204,287.2195360105252,0.026704001356847584,295.20962401875295,299.6273923345143,307.9394240048714,1.0720398776747553,0,0,0,222.5877473442788,0.0,4.937318508797956,0.017188150498986775,0.019103087475908113,1.0063470813530109,222.5877473442788,0.72116,224.6305135684961,1271.3593060159765,0.17668531036471077,1288,0,0,0,0,True,True,1304.0,1.0,2.0,4.973979037267081,4.971394555214724,0.999480399488419,0.7060256452009619,0.14194383207310077,-0.11686122916017695,0.9448846839748467,6323.714536957891,0.12647429073915784,6482.6985,0.12965397,0.022346149312404764,5.659780079825636,0.037243270930043974,0.006418960353355215,0.02542718612031953,0.003215885330059971,,1288,1288,1288,0,0,0,1304.0,17,17.0,2.0,0,6482.6985,0.0,0.0,1288,46.375,46.468,46.88008013803681,0.09300000000000352,729.0,729.0,665.0,2133.0,305.0,408.0,48.593,1.0256738546133812,1.0,1.0,0.12965397
fixed_2026-03,Ergebnisse_13.03.2026 (feste Reihenfolge),mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,fast,128,123,Orin,2.6.0,0.21.0,2026-03-13T17:40:18Z,391,50000.0,0,0,0,0,True,True,5.684341886080802e-14,615.9631125947527,615.735104016494,615.735104016494,0.0,620.3375839977525,622.3458720080089,624.6794880134985,1.0145263505989175,0,0,0,207.60535044538278,0.0,11.847481269539802,0.019234075916708927,0.24953422969739578,0.9956991088411853,207.60535044538278,0.7214,240.84157702454831,906.4851490239962,0.26568728377277895,945,0,0,0,0,True,True,954.0,1.0,2.0,7.217767195767196,7.215365828092243,0.9996672977099675,1.7141798697422397,0.23749448039104218,-0.28494015321451216,0.8495666278521331,6542.798772075537,0.13085597544151076,6883.459,0.13766918,0.03476676868049246,3.7638233407332358,0.08479913662116728,0.021415047051297896,0.018129702980479924,0.002372379967975565,,945,945,945,0,0,0,954.0,10,10.0,2.0,0,6883.459,0.0,0.0,945,38.406,38.625,39.137361635220124,0.2190000000000012,1190.0,1190.0,2133.0,2133.0,815.0,815.0,41.812,1.0524165796065854,1.0,1.0,0.13766918
