dataset,runs,state_meta_ratio_min,state_meta_ratio_median,state_meta_ratio_p95,state_meta_ratio_max,state_log_ratio_median,state_log_ratio_max
Clone1,126,1.0014570504770552,1.0214926093078511,1.0791903576673747,1.1249999476099308,1.0018729649133253,1.0046636871508379
Clone2,126,1.001411575388379,1.0205410954602232,1.07975443366262,1.1255975449874636,1.0017835120497254,1.0048361204013379
Clone3,126,1.001481458885092,1.0211312233632532,1.080141217657169,1.1252772276054879,1.001842741377502,1.004456572769953
MasterJetson,72,1.001485603078257,1.0151426015703442,1.0221672850468368,1.0253119653833702,1.0015269851875002,1.0043633136094674
fixed_2026-03,54,1.0255842461789015,1.0393550847490174,1.1037354894421603,1.1255843578258697,1.0024921873686687,1.0049403166869673
random_2026-03,54,1.022522488731244,1.0420480082954051,1.110210873036411,1.1247153248478141,1.002082891879415,1.0051962864721486
