dataset,profile,cpu_freq_mode_MHz,cpu_freq_max_MHz,emc_freq_mode_MHz,emc_freq_max_MHz,gpu_freq_mode_MHz,gpu_freq_max_MHz,runs
Clone3,slow,729.0,729.0,2133.0,2133.0,305.0,407.0,3
Clone3,slow,729.0,729.0,2133.0,2133.0,305.0,408.0,17
Clone3,slow,729.0,729.0,2133.0,2133.0,407.0,408.0,21
MasterJetson,fast,729.0,729.0,3199.0,3199.0,407.0,408.0,15
MasterJetson,fast,1190.0,1190.0,3199.0,3199.0,814.0,815.0,1
MasterJetson,fast,1190.0,1190.0,3199.0,3199.0,815.0,815.0,6
MasterJetson,fast,1267.0,1267.0,3199.0,3199.0,814.0,815.0,1
MasterJetson,fast,1728.0,1728.0,3199.0,3199.0,1015.0,1019.0,1
MasterJetson,medium,1190.0,1190.0,3199.0,3199.0,305.0,704.0,1
MasterJetson,medium,1190.0,1190.0,3199.0,3199.0,305.0,710.0,1
MasterJetson,medium,1190.0,1190.0,3199.0,3199.0,305.0,815.0,3
MasterJetson,medium,1190.0,1190.0,3199.0,3199.0,407.0,815.0,3
MasterJetson,medium,1190.0,1190.0,3199.0,3199.0,814.0,815.0,3
MasterJetson,medium,1190.0,1190.0,3199.0,3199.0,815.0,815.0,3
MasterJetson,medium,1190.0,1192.0,3199.0,3199.0,305.0,712.0,1
MasterJetson,medium,1190.0,1192.0,3199.0,3199.0,305.0,815.0,1
MasterJetson,medium,1190.0,1192.0,3199.0,3199.0,605.0,815.0,1
MasterJetson,medium,1190.0,1192.0,3199.0,3199.0,611.0,815.0,1
MasterJetson,medium,1190.0,1192.0,3199.0,3199.0,815.0,815.0,2
MasterJetson,medium,1267.0,1267.0,3199.0,3199.0,305.0,702.0,1
MasterJetson,medium,1267.0,1267.0,3199.0,3199.0,305.0,808.0,1
MasterJetson,medium,1267.0,1267.0,3199.0,3199.0,814.0,815.0,1
MasterJetson,medium,1267.0,1267.0,3199.0,3199.0,815.0,815.0,1
MasterJetson,slow,729.0,729.0,3199.0,3199.0,305.0,306.0,4
MasterJetson,slow,729.0,729.0,3199.0,3199.0,305.0,408.0,7
MasterJetson,slow,729.0,729.0,3199.0,3199.0,407.0,408.0,13
fixed_2026-03,fast,1190.0,1190.0,2133.0,2133.0,815.0,815.0,18
fixed_2026-03,medium,729.0,1192.0,2133.0,2133.0,305.0,815.0,8
fixed_2026-03,medium,729.0,1192.0,2133.0,2133.0,805.0,815.0,2
fixed_2026-03,medium,729.0,1192.0,2133.0,2133.0,814.0,815.0,2
fixed_2026-03,medium,729.0,1193.0,2133.0,2133.0,305.0,815.0,1
fixed_2026-03,medium,729.0,1193.0,2133.0,2133.0,814.0,815.0,4
fixed_2026-03,medium,729.0,1194.0,2133.0,2133.0,305.0,815.0,1
fixed_2026-03,slow,729.0,729.0,665.0,2133.0,305.0,408.0,3
fixed_2026-03,slow,729.0,729.0,2133.0,2133.0,305.0,408.0,6
fixed_2026-03,slow,729.0,729.0,2133.0,2133.0,407.0,408.0,9
random_2026-03,fast,729.0,729.0,3199.0,3199.0,407.0,408.0,11
random_2026-03,fast,1190.0,1190.0,3199.0,3199.0,815.0,815.0,3
random_2026-03,fast,1267.0,1267.0,3199.0,3199.0,815.0,815.0,2
random_2026-03,fast,1728.0,1728.0,3199.0,3199.0,1014.0,1019.0,1
random_2026-03,fast,1728.0,1728.0,3199.0,3199.0,1019.0,1019.0,1
random_2026-03,medium,1190.0,1190.0,3199.0,3199.0,305.0,815.0,7
random_2026-03,medium,1190.0,1190.0,3199.0,3199.0,807.0,815.0,1
random_2026-03,medium,1190.0,1190.0,3199.0,3199.0,814.0,815.0,1
random_2026-03,medium,1190.0,1192.0,3199.0,3199.0,807.0,815.0,1
random_2026-03,medium,1190.0,1192.0,3199.0,3199.0,814.0,815.0,4
random_2026-03,medium,1190.0,1192.0,3199.0,3199.0,815.0,815.0,1
random_2026-03,medium,1267.0,1267.0,3199.0,3199.0,305.0,815.0,3
random_2026-03,slow,729.0,729.0,3199.0,3199.0,305.0,408.0,9
random_2026-03,slow,729.0,729.0,3199.0,3199.0,407.0,408.0,9
