metric,configurations,median_cv,p25_cv,p75_cv,p95_cv,max_cv,median_max_to_min,p95_max_to_min
avg_power_W,72,0.09200353301393102,0.08497316406862501,0.10350339900062795,0.1591270718021188,0.20363705431385487,1.2135914170469293,1.420765918439763
energy_per_img_J_avg_power_times_meta_duration,72,0.09086733601818518,0.08053631597957335,0.13863014243217558,0.23001995729138677,0.3670030454252966,1.2126069658326841,1.627435102458919
energy_per_img_J_integrated_log_timestamps,72,0.09030357549229007,0.07987612987719118,0.13749910971199397,0.22892753198045138,0.3668648879242291,1.212635017499105,1.6257758419512065
energy_per_img_J_power_over_throughput_proxy,72,0.09046906201875334,0.07283500666031203,0.1468492957369416,0.24451108211751643,0.37215955469343215,1.2132083782518577,1.6922803848890926
latency_avg_ms,72,0.017714291892804213,0.0049132234493884305,0.20437843704556882,0.3859368288389869,0.3963799986171052,1.0386795604529682,1.9881451934724659
throughput_img_s,72,0.017831372062838805,0.0049067164724342135,0.23978689690956848,0.29797571166678505,0.3962491040722792,1.0386795604529682,1.9881451934724657
