scope,exposure,level,n_transitions,median_predecessor_end_temperature_C,median_successor_start_temperature_C,median_successor_start_minus_predecessor_end_C,p25_successor_start_minus_predecessor_end_C,p75_successor_start_minus_predecessor_end_C,interpretation
primary_successors_slow_medium_only,predecessor_fp64,exposed,70,38.4055,38.343,-0.125,-0.25,-0.007749999999999702,raw boundary-temperature continuity; start/end samples are coarse internal telemetry and not ambient temperature
primary_successors_slow_medium_only,predecessor_fp64,reference,179,39.093,38.937,-0.21800000000000352,-0.375,-0.09300000000000352,raw boundary-temperature continuity; start/end samples are coarse internal telemetry and not ambient temperature
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,exposed,52,37.953,37.859,-0.07800000000000296,-0.2267500000000009,0.0,raw boundary-temperature continuity; start/end samples are coarse internal telemetry and not ambient temperature
primary_successors_slow_medium_only,predecessor_duration_upper_quartile,reference,197,39.125,39.0,-0.2189999999999941,-0.375,-0.09300000000000352,raw boundary-temperature continuity; start/end samples are coarse internal telemetry and not ambient temperature
