profile,metric,configurations,median_cv,p75_cv,p95_cv,max_cv,median_max_to_min
fast,avg_power_W,42,0.1213142170349055,0.14746810947396416,0.1712309227973108,0.18232286591792904,1.2606631314801082
fast,energy_per_img_J_avg_power_times_meta_duration,42,0.1494413480008292,0.2118300574460322,0.2960928084903069,0.43413566767781364,1.3141918891597941
fast,throughput_img_s,42,0.2869003252051414,0.3424402824845694,0.4272540140423652,0.42909707423305804,1.642482281157824
medium,avg_power_W,42,0.039208509532858524,0.04386971670409452,0.051615331879531365,0.059504797340086804,1.0736995001695657
medium,energy_per_img_J_avg_power_times_meta_duration,42,0.04080408022774985,0.05356913304661387,0.06452583360326174,0.10013959861304253,1.0773179757913738
medium,throughput_img_s,42,0.005002562721796567,0.008388925500383978,0.025806806375226237,0.07967595308358524,1.0097440420677168
slow,avg_power_W,42,0.0388721125189115,0.0407074026736035,0.043128603762708995,0.043923404791510294,1.0746241635151486
slow,energy_per_img_J_avg_power_times_meta_duration,42,0.03881587578389746,0.04142763088400252,0.047243024028004024,0.09969944596435029,1.0739933265458015
slow,throughput_img_s,42,0.0005733662629265529,0.0015197722210301074,0.03069955060419217,0.0414550760218438,1.00109795167828
