metric,grouping,level,numerator,denominator,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm_within_grouping
throughput_img_s,all,all,random,fixed,54,0.9455109990733795,0.8773634179758767,1.0189518175161947,1.0343582588567184,3.4358258856718393,125.22881574831169,120.49011818308534,0.004085188270660564,0.44915824915824915,0.012255564811981694
throughput_img_s,by_model,mobilenet_v2,random,fixed,27,0.9964318635691316,0.9045129437681605,1.0976918192011422,1.0839078652826653,8.390786528266524,174.88343388366613,166.10128718514173,0.0054652392864227295,0.5978835978835979,0.01639571785926819
throughput_img_s,by_model,resnet50,random,fixed,27,0.8971923540928757,0.7980977480607754,1.00859089278049,1.009346136096104,0.9346136096104019,75.57419761295722,74.87894918102891,0.27924175560474396,0.24338624338624337,0.8377252668142319
throughput_img_s,by_precision,fp16,random,fixed,18,1.0521193559126742,0.955807821809013,1.1581356773069904,1.1254886642014594,12.548866420145933,245.60712219012717,231.0100681548731,0.02684783935546875,0.5906432748538012,0.08054351806640625
throughput_img_s,by_precision,fp32,random,fixed,18,0.9481453065489497,0.8316289211102794,1.0809863624398786,1.0463795503984241,4.637955039842412,120.82437848667279,120.35356510048058,0.28372955322265625,0.2982456140350877,0.8511886596679688
throughput_img_s,by_precision,fp64,random,fixed,18,0.8473441705645638,0.7225997585313143,0.9936235584261325,1.0004686624927057,0.04686624927056071,9.254946568135042,10.106721293902343,0.83172607421875,-0.06432748538011696,0.834228515625
throughput_img_s,by_profile,fast,random,fixed,18,0.7553277213742657,0.6239731204396444,0.9143342044517216,0.6295156937150193,-37.04843062849808,140.3838114835102,147.63701304404424,0.7018814086914062,-0.1111111111111111,0.93658447265625
throughput_img_s,by_profile,medium,random,fixed,18,1.0872640122511708,1.0545108931179772,1.1210344435998703,1.1093883119128776,10.938831191287758,145.55695244628916,128.7986494529377,7.62939453125e-05,0.9415204678362573,0.0002288818359375
throughput_img_s,by_profile,slow,random,fixed,18,1.0292700091957234,1.0124177828188596,1.0464027497424058,1.03098043281319,3.098043281318996,89.74568331513566,85.0346920522741,7.62939453125e-05,0.9415204678362573,0.0002288818359375
latency_avg_ms,all,all,random,fixed,54,1.0576291560648379,0.9814006735250821,1.1397785450264752,0.9667848431888513,-3.321515681114878,10112.667897678379,8221.949728835241,0.2503646607243436,-0.1797979797979798,0.5007293214486872
latency_avg_ms,by_model,mobilenet_v2,random,fixed,27,1.0035809136192089,0.9110025077236719,1.105567374010199,0.9225876405456441,-7.741235945435587,2020.2897656695116,1779.285387217054,0.022940203547477722,-0.4973544973544973,0.045880407094955444
latency_avg_ms,by_model,resnet50,random,fixed,27,1.1145881877371437,0.9914822820213987,1.2529793530050781,0.9907404053358222,-0.9259594664177806,18205.046029687248,14664.614070453428,0.6789510101079941,0.09523809523809523,1.0
latency_avg_ms,by_precision,fp16,random,fixed,18,0.9504625063498973,0.8634566912965648,1.0462354222079358,0.8885416341157222,-11.145836588427777,360.75123629122726,372.42562807928783,0.02684783935546875,-0.5906432748538012,0.08054351806640625
latency_avg_ms,by_precision,fp32,random,fixed,18,1.054690660907019,0.9250810507386185,1.2024593837656994,0.9556853195587225,-4.431468044127746,878.9988065752545,801.6666663976521,0.3692169189453125,-0.25146198830409355,0.8511886596679688
latency_avg_ms,by_precision,fp64,random,fixed,18,1.1801579980584813,1.0064173615045597,1.3838919653564545,0.9995317080402908,-0.046829195970915505,29098.25365016866,23491.756892028785,0.4171142578125,0.22807017543859648,0.834228515625
latency_avg_ms,by_profile,fast,random,fixed,18,1.323928636142958,1.093691994821136,1.6026331379393577,1.5885365028989904,58.85365028989905,11872.484113017332,6387.885879014254,0.02081298828125,0.6140350877192983,0.083251953125
latency_avg_ms,by_profile,medium,random,fixed,18,0.9197398136350606,0.8920332517070537,0.948306941660129,0.9014006253069496,-9.859937469305036,6258.884447048487,6189.4867450618,0.00193023681640625,-0.7894736842105263,0.0038604736328125
latency_avg_ms,by_profile,slow,random,fixed,18,0.9715623607661559,0.9556549810731778,0.9877345271590499,0.9699531083129842,-3.0046891687015744,12206.63513296932,12088.476562429669,0.00193023681640625,-0.7894736842105263,0.0038604736328125
avg_power_W,all,all,random,fixed,54,1.1532902358035289,1.1182315823462177,1.1894480436771915,1.19397358868069,19.39735886806899,7.623996148103826,6.632979751772116,1.5030204987044312e-08,0.8855218855218855,6.012081994817725e-08
avg_power_W,by_model,mobilenet_v2,random,fixed,27,1.1908407946051685,1.1496220728266442,1.2335373786005148,1.2215160212079659,22.15160212079659,7.201084928012809,6.052872675831105,6.407499313354492e-07,0.9470899470899471,2.562999725341797e-06
avg_power_W,by_model,resnet50,random,fixed,27,1.1169237517100308,1.0623876223547566,1.1742594142511897,1.1751523048049135,17.51523048049135,8.04690736819484,7.213086827713131,0.0001253187656402588,0.7883597883597884,0.0005012750625610352
avg_power_W,by_precision,fp16,random,fixed,18,1.2035678696679355,1.151034487012756,1.2584988836055258,1.2147132389479847,21.471323894798456,7.573393769500198,6.296157539034033,3.814697265625e-05,0.9649122807017544,0.000152587890625
avg_power_W,by_precision,fp32,random,fixed,18,1.1236176832828058,1.0561145441685662,1.1954353863952747,1.1828610732013352,18.286107320133517,8.295518434116397,7.4246992053028755,0.00041961669921875,0.8713450292397661,0.001678466796875
avg_power_W,by_precision,fp64,random,fixed,18,1.1342967680626315,1.070927679761031,1.201415541266458,1.182057520055936,18.205752005593602,7.003076240694877,6.178082510979441,0.00104522705078125,0.8245614035087719,0.004180908203125
avg_power_W,by_profile,fast,random,fixed,18,1.0482875594004888,0.9716159760216609,1.1310094052728241,0.978934581394056,-2.1065418605944073,7.684270776762265,7.308236782867031,0.468292236328125,0.2046783625730994,0.93658447265625
avg_power_W,by_profile,medium,random,fixed,18,1.1982799149493615,1.1811474256118708,1.215660910260395,1.1843537945817328,18.435379458173283,8.284703389021843,6.925247277142539,7.62939453125e-06,1.0,5.340576171875e-05
avg_power_W,by_profile,slow,random,fixed,18,1.2211728317157875,1.2016438967615086,1.2410191479686994,1.2116725846701555,21.167258467015536,6.903014278527368,5.665455195306781,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_avg_power_times_meta_duration,all,all,random,fixed,54,1.2209273611433917,1.1734006000782933,1.270379119534372,1.1638902683454946,16.389026834549448,1.069044055577712,0.7994193225245465,1.7198462727875601e-10,0.9986531986531987,1.1379889198531676e-09
energy_per_img_J_avg_power_times_meta_duration,by_model,mobilenet_v2,random,fixed,27,1.1988984410142078,1.1363689917778674,1.2648686142144105,1.1623947106861703,16.23947106861703,0.28973233415172683,0.23611349559758818,2.9802322387695312e-08,0.9947089947089947,1.4901161193847656e-07
energy_per_img_J_avg_power_times_meta_duration,by_model,resnet50,random,fixed,27,1.2433610472689745,1.1692847668096975,1.322130192531111,1.16486074950417,16.486074950417006,1.8483557770036978,1.3627251494515047,1.4901161193847656e-08,1.0,1.043081283569336e-07
energy_per_img_J_avg_power_times_meta_duration,by_precision,fp16,random,fixed,18,1.169438838582469,1.1167342807029366,1.2246308014510636,1.1385782635760815,13.85782635760815,0.15481634402381955,0.13204507109362534,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_avg_power_times_meta_duration,by_precision,fp32,random,fixed,18,1.191047910726465,1.1317639750460382,1.2534372509852785,1.157950753024794,15.795075302479422,0.23751552794224587,0.1977776029518754,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_avg_power_times_meta_duration,by_precision,fp64,random,fixed,18,1.3066604150779368,1.1839342522563099,1.4421083240710395,1.203137958711212,20.313795871121208,2.8148002947670716,2.0684352935281383,1.52587890625e-05,0.9883040935672515,7.62939453125e-05
energy_per_img_J_avg_power_times_meta_duration,by_profile,fast,random,fixed,18,1.3683793374005744,1.2386857235194744,1.5116522096538048,1.4101988533573118,41.01988533573119,1.177120948776809,0.6998506105942585,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_avg_power_times_meta_duration,by_profile,medium,random,fixed,18,1.1208630070608718,1.0914337550735578,1.1510857848746567,1.1177012886375755,11.770128863757545,0.8138985877661995,0.6917430232271584,1.52587890625e-05,0.9883040935672515,6.103515625e-05
energy_per_img_J_avg_power_times_meta_duration,by_profile,slow,random,fixed,18,1.186616644070135,1.1717162296913193,1.2017065431919576,1.189996780494669,18.999678049466894,1.2161126301901284,1.006664333752222,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_integrated_log_timestamps,all,all,random,fixed,54,1.2216833743188094,1.1738477791137336,1.2714683229318298,1.1640371746764058,16.403717467640575,1.140146136851852,0.8516918477777778,1.6256984569330967e-10,1.0,1.1379889198531676e-09
energy_per_img_J_integrated_log_timestamps,by_model,mobilenet_v2,random,fixed,27,1.200653428632176,1.1377534919192465,1.2670307460489139,1.1622011517122457,16.22011517122457,0.3058969866666667,0.24829002370370368,1.4901161193847656e-08,1.0,1.043081283569336e-07
energy_per_img_J_integrated_log_timestamps,by_model,resnet50,random,fixed,27,1.2430816682773387,1.1684101173410455,1.3225253796361387,1.1649371110620312,16.493711106203122,1.9743952870370374,1.455093671851852,1.4901161193847656e-08,1.0,1.043081283569336e-07
energy_per_img_J_integrated_log_timestamps,by_precision,fp16,random,fixed,18,1.1685168412175533,1.1151815195019785,1.2244030091341789,1.1359775041595368,13.59775041595368,0.1603681488888889,0.13688769722222224,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_integrated_log_timestamps,by_precision,fp32,random,fixed,18,1.191282285504257,1.1317080046114316,1.253992618213837,1.1583581672559031,15.835816725590323,0.24806020222222225,0.20649863166666668,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_integrated_log_timestamps,by_precision,fp64,random,fixed,18,1.3098643767720821,1.1867693663491328,1.445727143105044,1.2028522433550428,20.28522433550427,3.012010059444444,2.2116892144444447,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_integrated_log_timestamps,by_profile,fast,random,fixed,18,1.3719174354533894,1.2412009493999026,1.5164002658965035,1.4133318990256307,41.333189902563085,1.2576388066666668,0.74420817,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_integrated_log_timestamps,by_profile,medium,random,fixed,18,1.1198902538861726,1.092640847608504,1.1478192340092732,1.1134959749851117,11.349597498511166,0.8655196438888888,0.7366671583333333,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_integrated_log_timestamps,by_profile,slow,random,fixed,18,1.186786371438009,1.1721588393582119,1.2015964425112946,1.1893178088039125,18.931780880391248,1.29727996,1.074200215,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_power_over_throughput_proxy,all,all,random,fixed,54,1.2197533787907038,1.1634762084938526,1.2787526674029102,1.1654558611802612,16.545586118026122,0.9365199950157447,0.6874860992362143,1.6256984569330967e-10,1.0,1.1379889198531676e-09
energy_per_img_J_power_over_throughput_proxy,by_model,mobilenet_v2,random,fixed,27,1.1951050926248796,1.118468618378191,1.2769926298772336,1.1629212492309504,16.29212492309504,0.17359062515779572,0.13437701446936823,1.4901161193847656e-08,1.0,1.043081283569336e-07
energy_per_img_J_power_over_throughput_proxy,by_model,resnet50,random,fixed,27,1.2449100202590546,1.1597065231097965,1.336373407977003,1.165868441100544,16.5868441100544,1.6994493648736937,1.2405951840030605,1.4901161193847656e-08,1.0,1.043081283569336e-07
energy_per_img_J_power_over_throughput_proxy,by_precision,fp16,random,fixed,18,1.1439461339667925,1.0776168758856586,1.2143580772545568,1.0946427576024604,9.464275760246043,0.037378603731690344,0.03251946973963138,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_power_over_throughput_proxy,by_precision,fp32,random,fixed,18,1.185069076988356,1.1021759461150027,1.2741964857646224,1.157704051369532,15.770405136953203,0.10051066723348114,0.08242217803005543,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_power_over_throughput_proxy,by_precision,fp64,random,fixed,18,1.3386494030010008,1.2070800762350884,1.4845595246209107,1.2068319077839673,20.68319077839672,2.6716707140820626,1.947516649938956,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_power_over_throughput_proxy,by_profile,fast,random,fixed,18,1.3878579188027194,1.2271635370756198,1.5695948784246867,1.5141429847108052,51.41429847108052,1.0498175743940845,0.5897498970273989,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_power_over_throughput_proxy,by_profile,medium,random,fixed,18,1.102105745658162,1.0761509010631123,1.1286865749151096,1.0871929349233906,8.719293492339053,0.6844143588034636,0.5851160344724312,7.62939453125e-06,1.0,5.340576171875e-05
energy_per_img_J_power_over_throughput_proxy,by_profile,slow,random,fixed,18,1.1864455592852823,1.1734780566764547,1.1995563590976266,1.1875836830576465,18.758368305764662,1.075328051849686,0.8875923662088128,7.62939453125e-06,1.0,5.340576171875e-05
inference_time_fraction_of_meta_duration,all,all,random,fixed,54,0.9990384502878299,0.9858879263199929,1.01236438595918,1.001145199704692,0.11451997046919571,0.49751199022977105,0.49248602186588153,0.5156460642762448,0.10168350168350168,0.5156460642762448
inference_time_fraction_of_meta_duration,by_model,mobilenet_v2,random,fixed,27,0.9968359718725471,0.9743872784471623,1.019801855790515,1.0024268716681115,0.24268716681115077,0.4086247041193315,0.40058371328293657,0.5619325190782547,0.13227513227513227,0.5619325190782547
inference_time_fraction_of_meta_duration,by_model,resnet50,random,fixed,27,1.0012457950114189,0.9861302716374827,1.0165930109450902,1.0011027449670236,0.11027449670235612,0.5863992763402105,0.5843883304488264,0.7139776796102524,0.08465608465608465,1.0
inference_time_fraction_of_meta_duration,by_precision,fp16,random,fixed,18,0.9782009081838111,0.9593822481467781,0.9973887036371742,0.9815288716976345,-1.847112830236558,0.23137326400663186,0.23582566905189484,0.06653594970703125,-0.49707602339181284,0.08054351806640625
inference_time_fraction_of_meta_duration,by_precision,fp32,random,fixed,18,0.9949801903985019,0.9699479550222173,1.0206584530226293,0.9984777813648134,-0.15222186351865896,0.3849085066560341,0.3838719564826844,0.8985748291015625,-0.04093567251461988,0.8985748291015625
