profile,metric,configurations,median_cv,p75_cv,p95_cv,median_max_to_min
fast,avg_power_W,24,0.12576452181764444,0.14508152989247813,0.16727972971840877,1.3235019490422868
fast,energy_per_img_J_avg_power_times_meta_duration,24,0.18625121318015028,0.21206223601775104,0.25548344030272446,1.4608656772401452
fast,throughput_img_s,24,0.26902017022165425,0.28335237946648695,0.3914130824820178,1.65254880526324
medium,avg_power_W,24,0.08969527882309067,0.09325292739747215,0.10379214478767192,1.206064205127354
medium,energy_per_img_J_avg_power_times_meta_duration,24,0.08210525257946812,0.08704573236763426,0.09809269769869543,1.1883591289799642
medium,throughput_img_s,24,0.01604139034352798,0.026798579158003016,0.055219008209893,1.0350273350997141
slow,avg_power_W,24,0.08782738388387118,0.0992855937137865,0.10324982422893572,1.20940770601469
slow,energy_per_img_J_avg_power_times_meta_duration,24,0.08742126036023826,0.09901187457143375,0.10298680393197361,1.2027605154823375
slow,throughput_img_s,24,0.008426791936742232,0.012774043754893247,0.024679429415013582,1.0177559073411382
