dataset,sequence_index,campaign_run_count,sequence_fraction,prefix,model,precision,profile,batch,state_running_ts,state_done_ts,state_runner_duration_s,log_wall_span_s,log_start_gpu_or_tj_temp_C,log_end_gpu_or_tj_temp_C,max_gpu_or_tj_temp_C,predecessor_prefix,predecessor_model,predecessor_precision,predecessor_profile,predecessor_batch,predecessor_state_done_ts,predecessor_state_runner_duration_s,predecessor_log_wall_span_s,predecessor_max_gpu_or_tj_temp_C,predecessor_log_end_gpu_or_tj_temp_C,state_event_gap_s,predecessor_is_fp64,predecessor_in_duration_upper_quartile,successor_start_minus_predecessor_end_temp_C,configuration_id,adjusted_residual__forward_throughput,adjusted_residual__logged_energy_per_evaluated_image,adjusted_residual__logged_window_throughput,adjusted_residual__average_input_power,adjusted_residual__logged_duration,adjusted_residual__start_temperature,adjusted_residual__maximum_temperature
Clone1,14,126,0.104,resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,1783020078.0459492,1783021724.1780567,1646.121,1643.0,38.062,38.906,39.281,mobilenet_v2_fp32_slow_BS8,mobilenet_v2,fp32,slow,8.0,1783020078.0447242,1507.797,1504.0,38.968,38.125,0.0012249946594238281,False,False,-0.06300000000000239,,,,,,,,
Clone1,15,126,0.112,mobilenet_v2_fp32_slow_BS32,mobilenet_v2,fp32,slow,32,1783021724.1784868,1783023133.1974847,1409.003,1405.0,38.343,38.0,39.187,resnet50_fp16_fast_BS4,resnet50,fp16,fast,4.0,1783021724.1780567,1646.121,1643.0,39.281,38.906,0.00043010711669921875,False,False,-0.5629999999999953,mobilenet_v2|fp32|B32|slow,-0.0027605706387312523,-0.00408895481478766,-0.003042044914935982,-0.007130999729723753,0.0030420449149355377,-0.3076388888888957,-0.8057857142857188
Clone1,16,126,0.12,resnet50_fp32_medium_BS4,resnet50,fp32,medium,4,1783023133.199216,1783024886.9147563,1753.704,1751.0,37.843,41.531,43.25,mobilenet_v2_fp32_slow_BS32,mobilenet_v2,fp32,slow,32.0,1783023133.1974847,1409.003,1405.0,39.187,38.0,0.0017311573028564453,False,False,-0.15699999999999648,resnet50|fp32|B4|medium,-0.009049039211381782,0.035452986244331686,-0.06911246858340414,-0.03365948233907168,0.06911246858340281,-1.3286388888888965,-1.9614523809523874
Clone1,17,126,0.128,mobilenet_v2_fp16_medium_BS1,mobilenet_v2,fp16,medium,1,1783024886.9158385,1783027248.016709,2361.088,2357.0,41.187,36.687,41.343,resnet50_fp32_medium_BS4,resnet50,fp32,medium,4.0,1783024886.9147563,1753.704,1751.0,43.25,41.531,0.0010821819305419922,False,False,-0.3440000000000012,mobilenet_v2|fp16|B1|medium,-0.013383070650101025,0.005922802043247688,-0.013819381916361895,-0.007896579873114318,0.01381938191636145,1.307027777777769,1.2045476190476165
Clone1,18,126,0.136,mobilenet_v2_fp64_fast_BS4,mobilenet_v2,fp64,fast,4,1783027248.0178363,1783030541.927146,3293.892,3290.0,36.656,37.875,39.062,mobilenet_v2_fp16_medium_BS1,mobilenet_v2,fp16,medium,1.0,1783027248.016709,2361.088,2357.0,41.343,36.687,0.0011272430419921875,False,False,-0.030999999999998806,,,,,,,,
Clone1,19,126,0.144,mobilenet_v2_fp32_fast_BS8,mobilenet_v2,fp32,fast,8,1783030541.9281487,1783031452.637033,910.704,907.0,37.906,38.812,39.781,mobilenet_v2_fp64_fast_BS4,mobilenet_v2,fp64,fast,4.0,1783030541.927146,3293.892,3290.0,39.062,37.875,0.0010027885437011719,True,False,0.030999999999998806,,,,,,,,
Clone1,20,126,0.152,resnet50_fp64_slow_BS32,resnet50,fp64,slow,32,1783031452.6377578,1783077004.9258728,45552.007,45545.0,38.406,38.656,40.468,mobilenet_v2_fp32_fast_BS8,mobilenet_v2,fp32,fast,8.0,1783031452.637033,910.704,907.0,39.781,38.812,0.00072479248046875,False,False,-0.4059999999999988,resnet50|fp64|B32|slow,-0.002807146449279596,-0.006716776248313905,-0.0020347490265337775,-0.00875152527484735,0.0020347490265324453,-1.5573055555555655,-0.46211904761904776
Clone1,21,126,0.16,mobilenet_v2_fp32_medium_BS32,mobilenet_v2,fp32,medium,32,1783077004.9269636,1783077960.7560985,955.825,952.0,38.343,40.718,41.437,resnet50_fp64_slow_BS32,resnet50,fp64,slow,32.0,1783077004.9258728,45552.007,45545.0,40.468,38.656,0.0010907649993896484,True,True,-0.3129999999999953,mobilenet_v2|fp32|B32|medium,0.00321312490476533,-0.011782323124804095,0.020544584197915938,0.008762261073112398,-0.020544584197917715,-1.7973055555555604,-1.5244523809523898
Clone1,22,126,0.168,resnet50_fp16_slow_BS8,resnet50,fp16,slow,8,1783077960.7564857,1783079620.9412222,1660.173,1657.0,40.562,39.437,40.562,mobilenet_v2_fp32_medium_BS32,mobilenet_v2,fp32,medium,32.0,1783077960.7560985,955.825,952.0,41.437,40.718,0.0003871917724609375,False,False,-0.1560000000000059,resnet50|fp16|B8|slow,-0.003200700168947357,0.006431831675857036,-0.005724382624773483,0.0007074490510843301,0.005724382624771707,0.9630277777777749,0.41288095238094513
Clone1,23,126,0.176,mobilenet_v2_fp16_medium_BS16,mobilenet_v2,fp16,medium,16,1783079620.9421735,1783080500.865652,879.919,876.0,39.062,39.125,40.156,resnet50_fp16_slow_BS8,resnet50,fp16,slow,8.0,1783079620.9412222,1660.173,1657.0,40.562,39.437,0.0009512901306152344,False,False,-0.375,mobilenet_v2|fp16|B16|medium,-0.0007695577887174565,-0.022545674555887296,0.02950432661466529,0.006958652058778325,-0.029504326614667065,-0.7659722222222314,-1.3991190476190525
Clone1,24,126,0.184,mobilenet_v2_fp64_medium_BS8,mobilenet_v2,fp64,medium,8,1783080500.8663597,1783083684.9168844,3184.034,3180.0,39.0,39.812,40.937,mobilenet_v2_fp16_medium_BS16,mobilenet_v2,fp16,medium,16.0,1783080500.865652,879.919,876.0,40.156,39.125,0.0007076263427734375,False,False,-0.125,mobilenet_v2|fp64|B8|medium,-0.0005832335383768594,0.00209422743056209,-0.0006128990382991972,0.001481328392263448,0.0006128990382974209,-1.6823055555555655,-0.8367857142857247
Clone1,25,126,0.192,mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,1783083684.9177225,1783089824.812338,6139.856,6136.0,39.812,38.625,39.812,mobilenet_v2_fp64_medium_BS8,mobilenet_v2,fp64,medium,8.0,1783083684.9168844,3184.034,3180.0,40.937,39.812,0.0008380413055419922,True,False,0.0,mobilenet_v2|fp64|B4|slow,-0.0027787039879818565,-0.003981115925785761,-0.0018072028437257082,-0.005788318769511136,0.001807202843724376,1.025694444444433,0.6942142857142812
Clone1,26,126,0.2,resnet50_fp16_fast_BS1,resnet50,fp16,fast,1,1783089824.812989,1783093412.8850508,3588.049,3584.0,38.406,38.656,39.531,mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4.0,1783089824.812338,6139.856,6136.0,39.812,38.625,0.0006508827209472656,True,True,-0.2190000000000012,,,,,,,,
Clone1,27,126,0.208,resnet50_fp32_slow_BS1,resnet50,fp32,slow,1,1783093412.886184,1783096678.320949,3265.407,3261.0,38.843,40.593,41.437,resnet50_fp16_fast_BS1,resnet50,fp16,fast,1.0,1783093412.8850508,3588.049,3584.0,39.531,38.656,0.0011332035064697266,False,False,0.18700000000000472,resnet50|fp32|B1|slow,-0.005798244443707912,0.0019694135456905792,-0.0028411366110803193,-0.0008717230653889629,0.002841136611078987,-0.016305555555554463,0.5275476190476169
Clone1,28,126,0.216,resnet50_fp16_slow_BS4,resnet50,fp16,slow,4,1783096678.3223286,1783098469.083568,1790.75,1787.0,40.25,39.312,40.437,resnet50_fp32_slow_BS1,resnet50,fp32,slow,1.0,1783096678.320949,3265.407,3261.0,41.437,40.593,0.0013794898986816406,False,False,-0.3430000000000035,resnet50|fp16|B4|slow,-0.006500922479335536,-0.0023285417776487405,-0.00040325141526320607,-0.0027317931929120576,0.0004032514152614297,0.7240277777777706,0.18388095238094593
Clone1,29,126,0.224,mobilenet_v2_fp32_fast_BS16,mobilenet_v2,fp32,fast,16,1783098469.0842266,1783099873.088748,1403.994,1401.0,39.125,38.968,39.718,resnet50_fp16_slow_BS4,resnet50,fp16,slow,4.0,1783098469.083568,1790.75,1787.0,40.437,39.312,0.0006585121154785156,False,False,-0.1869999999999976,,,,,,,,
Clone1,30,126,0.232,mobilenet_v2_fp64_medium_BS4,mobilenet_v2,fp64,medium,4,1783099873.090001,1783103443.4403763,3570.331,3567.0,38.75,38.937,40.312,mobilenet_v2_fp32_fast_BS16,mobilenet_v2,fp32,fast,16.0,1783099873.088748,1403.994,1401.0,39.718,38.968,0.0012531280517578125,False,False,-0.21800000000000352,mobilenet_v2|fp64|B4|medium,-0.0008396261847405384,0.03625634675952505,-0.05182917595793102,-0.015572829198405858,0.051829175957929685,-1.6823055555555584,-1.3471190476190529
Clone1,31,126,0.24,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,slow,64,1783103443.4408932,1783104662.7666454,1219.316,1216.0,38.812,37.781,39.531,mobilenet_v2_fp64_medium_BS4,mobilenet_v2,fp64,medium,4.0,1783103443.4403763,3570.331,3567.0,40.312,38.937,0.0005168914794921875,True,False,-0.125,mobilenet_v2|fp16|B64|slow,-0.0029748516147822812,-0.011575972741907692,0.0022909377288731214,-0.009285035013034237,-0.0022909377288744537,-1.1933055555555612,-1.3781190476190588
Clone1,32,126,0.248,resnet50_fp32_fast_BS128,resnet50,fp32,fast,128,1783104662.7676277,1783106935.054575,2272.166,2268.0,37.718,38.781,41.75,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,slow,64.0,1783104662.7666454,1219.316,1216.0,39.531,37.781,0.0009822845458984375,False,False,-0.06299999999999528,,,,,,,,
Clone1,33,126,0.256,resnet50_fp64_medium_BS32,resnet50,fp64,medium,32,1783106935.0558536,1783130075.3422644,23140.166,23136.0,38.781,36.593,40.687,resnet50_fp32_fast_BS128,resnet50,fp32,fast,128.0,1783106935.054575,2272.166,2268.0,41.75,38.781,0.0012786388397216797,False,False,0.0,resnet50|fp64|B32|medium,0.0001975767625075342,0.0021230679099889516,0.0005089967919662541,0.0026320647019553167,-0.0005089967919671423,0.1926944444444345,-1.5557857142857188
Clone1,34,126,0.264,mobilenet_v2_fp32_medium_BS16,mobilenet_v2,fp32,medium,16,1783130075.3433676,1783131177.4611225,1102.11,1099.0,36.281,36.062,37.375,resnet50_fp64_medium_BS32,resnet50,fp64,medium,32.0,1783130075.3422644,23140.166,23136.0,40.687,36.593,0.0011031627655029297,True,True,-0.3120000000000047,mobilenet_v2|fp32|B16|medium,0.00019411549394643401,-0.0025003181234545258,-0.002699096535030421,-0.0051994146584843914,0.0026990965350295326,-1.7659722222222314,-2.3781190476190517
Clone1,35,126,0.272,resnet50_fp32_fast_BS8,resnet50,fp32,fast,8,1783131177.4616675,1783132587.4426377,1409.975,1407.0,35.687,38.968,40.718,mobilenet_v2_fp32_medium_BS16,mobilenet_v2,fp32,medium,16.0,1783131177.4611225,1102.11,1099.0,37.375,36.062,0.0005450248718261719,False,False,-0.375,,,,,,,,
