dataset,runs,conventional_p50_differs,p50_difference_median_ms,p50_difference_max_ms,runs_with_gt5x_p50_stall,total_iterations_gt5x_p50,median_throughput_sensitivity_percent,p95_throughput_sensitivity_percent,max_throughput_sensitivity_percent,median_latency_lag1,median_power_lag1
Clone1,126,57,0.0,0.057041499530896544,3,3,0.0,0.0,2.666223742405016,0.18213905762081833,0.49449805587995177
Clone2,126,71,1.979060471057892e-06,0.03660900983965121,3,8,0.0,0.0,16.64486466290944,0.20360257796539827,0.4819881836960338
Clone3,126,70,1.0186340659856796e-06,0.023983942810446024,2,6,0.0,0.0,8.2468659180708,0.12318221273184432,0.46882245753823926
MasterJetson,72,51,3.4979166514403914e-06,0.0020385050447657704,0,0,0.0,0.0,0.0,0.23706768659547722,0.5449034095037613
fixed_2026-03,54,18,0.0,0.026704001356847584,4,6,0.0,2.7932474721118283,5.558273865832564,0.11867606759804859,0.15421530860309546
random_2026-03,54,17,0.0,0.042065512388944626,3,5,0.0,0.17821006102668724,2.3646306687573837,0.07822294332258783,0.16269214071604315
