model,precision,profile,batch,throughput_img_s_mean,throughput_img_s_std,throughput_img_s_min,throughput_img_s_max,latency_avg_ms_mean,latency_avg_ms_std,latency_avg_ms_min,latency_avg_ms_max,avg_power_W_mean,avg_power_W_std,avg_power_W_min,avg_power_W_max,energy_per_img_J_avg_power_times_meta_duration_mean,energy_per_img_J_avg_power_times_meta_duration_std,energy_per_img_J_avg_power_times_meta_duration_min,energy_per_img_J_avg_power_times_meta_duration_max,energy_per_img_J_integrated_log_timestamps_mean,energy_per_img_J_integrated_log_timestamps_std,energy_per_img_J_integrated_log_timestamps_min,energy_per_img_J_integrated_log_timestamps_max,energy_per_img_J_power_over_throughput_proxy_mean,energy_per_img_J_power_over_throughput_proxy_std,energy_per_img_J_power_over_throughput_proxy_min,energy_per_img_J_power_over_throughput_proxy_max
mobilenet_v2,fp16,fast,1,34.16418297595116,0.22635777790038442,33.9610676082636,34.40820452950533,29.2712756147321,0.19360641191286193,29.062835846098604,29.445481853953098,5.854087273132184,0.23495663015987708,5.7030969341749325,6.1247901684114705,0.2591842161740987,0.00931614739690165,0.2537467784472018,0.2699413618454111,0.26104204000000003,0.009350640551037112,0.25563093000000003,0.27183922,0.17132765974745204,0.0057819848978089596,0.1679304372865835,0.1780037712563412
mobilenet_v2,fp16,fast,4,118.23312684626448,27.725964326596547,86.22507399204038,134.82239869249736,35.32912350464613,9.580069964997039,29.668660688371165,46.39021823709016,5.930742436854245,0.3752888692565383,5.499439820742639,6.182798076923078,0.1418654413483412,0.025640868230256082,0.1261777934839367,0.17145500973694663,0.14392505666666663,0.025796017565876968,0.12821766999999998,0.17369661999999997,0.05178485987204264,0.010388388840322461,0.045715691687393034,0.06378005336649875
mobilenet_v2,fp16,fast,8,237.92049200114434,46.38155866402591,184.39614962629952,266.29745856562613,34.61228360241124,7.599506340198049,30.04159349882975,43.38485383893829,6.195959027334422,0.759384970925857,5.36855750798722,6.861096813725491,0.11658147569215037,0.015417042937892278,0.1043723439258105,0.13390602549166025,0.11837605000000001,0.015598926612690377,0.10609525,0.13592754,0.02635724786241975,0.002629830983189035,0.02387639294245702,0.029114260351245043
mobilenet_v2,fp16,fast,16,318.49262416976336,83.51282779945561,222.07332355048578,368.073864115029,53.10458307259871,16.406530624956194,43.46953576415777,72.04827551636379,6.286924200533043,0.7775485528278593,5.427746018440905,6.942215286624204,0.11216628361530877,0.014721669917644413,0.10011359613313296,0.12857420279111892,0.11433872333333334,0.014917596772075365,0.10206171,0.13094102,0.020359440087557377,0.0036005065818682396,0.017634534612067796,0.024441233785592306
mobilenet_v2,fp16,fast,32,227.0492847096164,0.09970893996131558,226.95640698798692,227.1546486866966,140.89349556519147,0.06186851342136625,140.8281250711875,140.95113550790842,5.4816047817323765,0.2100004627837143,5.318228643216081,5.718474590869939,0.1280618484027473,0.0030333111001574617,0.1256241942532806,0.13145883018181856,0.13083023,0.002980655641901619,0.12841379,0.13416092999999998,0.02414288629339773,0.0009282651566035076,0.023412369828060425,0.02518743494361064
mobilenet_v2,fp16,fast,64,293.43780302153465,88.24409605146047,242.42506778547204,395.33328060126735,229.69463982978914,58.85615151118109,161.73345899081949,263.7459051157699,5.852268112740531,0.5189810850378425,5.3955456053068,6.416627551020409,0.12041143579363485,0.01927684806688465,0.09851947703247642,0.13484359898944212,0.12387938666666665,0.019576502334258623,0.10163101999999999,0.13846725,0.0207237683238037,0.003955813664910794,0.01623093188931951,0.02368382323518611
mobilenet_v2,fp16,fast,128,351.461695019385,88.87215590278456,248.84220690533473,403.20800432532496,382.95874257413897,113.389329418697,317.1495517943283,513.88885929753,6.232154327414464,0.8221100346617127,5.302115321252058,6.8619023779724655,0.11056787921228362,0.012919618942380116,0.10077519448150973,0.125210710583413,0.11523111666666667,0.013231094032956362,0.10489851,0.13014369,0.01818783982435095,0.0027349324867658874,0.01620117957218979,0.021307138315443026
mobilenet_v2,fp16,medium,1,32.96085621859328,0.46296299397559254,32.61191281454899,33.48606088081639,30.34298140612916,0.4233014703120205,29.863172128821024,30.66364140265563,5.18181175385028,0.2134391038815134,5.014335478335478,5.42213860103627,0.23975858264109964,0.011157064779919191,0.23192545346292143,0.2525330058857439,0.24146113333333333,0.010912258893704495,0.23400595000000002,0.25398603,0.1572381174581747,0.0070819039241175165,0.15256978718287914,0.16538678021135214
mobilenet_v2,fp16,medium,4,128.98409530267708,2.85093026934799,126.15499449387384,131.85636476811422,31.021675568004913,0.6854941031075,30.336040334757417,31.707028453750535,5.677606369495046,0.20607311944488949,5.546189265536723,5.915109243697479,0.12074427701249023,0.0048742163853622905,0.1172845911459486,0.12631871558769445,0.12240246333333332,0.00490570237516845,0.11903503,0.12803095,0.044053286326318435,0.0025207822901475874,0.042062355315880165,0.0468876342742397
mobilenet_v2,fp16,medium,8,172.85541369411456,0.8870759600738035,172.00421135449685,173.77446667688275,46.28226684405856,0.23737982478233446,46.03668279342353,46.510489115363455,5.921422866563318,0.26274874467020476,5.755787592008413,6.224378232758621,0.11183766053345072,0.0032797552583575117,0.10854018669019715,0.11509940528038948,0.11376537999999999,0.0030866962202976845,0.11063376,0.11680510000000001,0.034257717389293285,0.0015497892761037752,0.0331221709499518,0.03602330007352858
