metric,numerator,denominator,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm_within_metric
throughput_img_s,MasterJetson,Clone1,72,0.9903329823620385,0.940954967632677,1.0423021820284932,1.006596386487195,0.6596386487194961,64.16251357259016,68.2938598534343,0.0016117509741916255,0.4277016742770167,0.006447003896766502
throughput_img_s,MasterJetson,Clone2,72,1.017857459082125,0.9618018791487456,1.077180061164025,1.0141980056853332,1.4198005685333248,64.16251357259016,64.9299968454947,5.337038208711886e-06,0.617199391171994,3.2022229252271314e-05
throughput_img_s,MasterJetson,Clone3,72,0.9792953306526078,0.9332938475957223,1.0275641986803514,1.0082857216505359,0.8285721650535871,64.16251357259016,65.40816044146008,0.00012104005188560307,0.5213089802130898,0.0006052002594280153
throughput_img_s,Clone1,Clone2,72,1.0277931536264078,0.9669365088349428,1.0924799684253501,1.0042116842905524,0.421168429055252,68.2938598534343,64.9299968454947,0.005863090401463778,0.3736681887366819,0.017589271204391334
throughput_img_s,Clone1,Clone3,72,0.9888546055659937,0.9511182312267146,1.0280882006518857,1.0010675921697025,0.10675921697026469,68.2938598534343,65.40816044146008,0.09897609797686681,0.2237442922374429,0.09897609797686681
throughput_img_s,Clone2,Clone3,72,0.9621144119096091,0.9045989034548209,1.0232868269781228,0.9974982767073715,-0.2501723292628599,64.9299968454947,65.40816044146008,0.01251770625372322,-0.3386605783866058,0.02503541250744644
latency_avg_ms,MasterJetson,Clone1,72,1.0097613810810429,0.9594146661516469,1.0627501149346952,0.9934472616425909,-0.6552738357409105,972.5289053545425,912.3085375988131,0.0020643159348175868,-0.4178082191780822,0.006960779419901488
latency_avg_ms,MasterJetson,Clone2,72,0.9824558351242733,0.9283498980842418,1.0397151655443448,0.986000765604052,-1.3999234395947968,972.5289053545425,878.9822875434846,1.113063544451006e-05,-0.5958904109589042,6.678381266706036e-05
latency_avg_ms,MasterJetson,Clone3,72,1.021142416081566,0.9731752052905788,1.071473901361421,0.9917826007739674,-0.821739922603254,972.5289053545425,840.2168512394737,0.0001387758731623815,-0.5167427701674278,0.0006938793658119076
latency_avg_ms,Clone1,Clone2,72,0.9729584172376087,0.9153485911886821,1.0341940663765974,0.9958060301507474,-0.4193969849252632,912.3085375988131,878.9822875434846,0.009525282301609374,-0.3515981735159817,0.019050564603218748
latency_avg_ms,Clone1,Clone3,72,1.011271014334435,0.9726791916937909,1.051393998315267,0.9989336415222257,-0.10663584777742541,912.3085375988131,840.2168512394737,0.02903958325507878,-0.2960426179604262,0.02903958325507878
latency_avg_ms,Clone2,Clone3,72,1.039377424993765,0.9772431088095883,1.1054623172555544,1.0025080046548733,0.25080046548733304,878.9822875434846,840.2168512394737,0.001740194854975372,0.4246575342465753,0.006960779419901488
avg_power_W,MasterJetson,Clone1,72,1.1850445071405982,1.1593335460174505,1.2113256695868653,1.2035307514429694,20.353075144296927,7.259042753395698,6.1586762015783485,1.963332135822173e-12,0.954337899543379,1.1314998876410584e-11
avg_power_W,MasterJetson,Clone2,72,1.1234930386299533,1.0994750102244706,1.1480357407962056,1.1259011831549621,12.590118315496223,7.259042753395698,6.458432028161967,1.308435921344405e-11,0.9178082191780822,5.23374368537762e-11
avg_power_W,MasterJetson,Clone3,72,1.1749828814262246,1.1525718603332267,1.1978296704602218,1.1912662818846704,19.126628188467055,7.259042753395698,6.196130212440309,1.8858331460684308e-12,0.9550989345509894,1.1314998876410584e-11
avg_power_W,Clone1,Clone2,72,0.9480597832910405,0.9236557654694427,0.9731085825432334,0.9342418679699482,-6.575813203005176,6.1586762015783485,6.458432028161967,2.9059818734769526e-05,-0.5669710806697108,8.717945620430858e-05
avg_power_W,Clone1,Clone3,72,0.9915094955052354,0.9757984472538309,1.007473502795315,0.9917211507897573,-0.8278849210242689,6.1586762015783485,6.196130212440309,0.00019878719019142058,-0.5045662100456622,0.00022599103206644424
avg_power_W,Clone2,Clone3,72,1.0458301395966465,1.0203023264242412,1.071996654875759,1.0612065939655797,6.12065939655796,6.458432028161967,6.196130212440309,0.00011299551603322212,0.5235920852359208,0.00022599103206644424
