factor,numerator,denominator,metric,group,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm
precision,fp32,fp16,throughput_img_s,model=mobilenet_v2,63,0.6942423544875908,0.6381476856958581,0.7552678753961387,0.6266550807368098,-37.334491926319025,129.1202577711694,204.32649216685914,1.20677898265185e-09,-0.8809523809523809,9.171520268154059e-08
precision,fp32,fp16,throughput_img_s,model=resnet50,63,0.5191157135860515,0.46791905479729623,0.5759139777043175,0.4696842048075041,-53.0315795192496,52.655132541663335,111.14487948979779,2.9797719463682534e-11,-0.9632936507936508,2.4136152765582854e-09
precision,fp32,fp16,latency_avg_ms,model=mobilenet_v2,63,1.440419175718664,1.3240335417092897,1.5670353781970796,1.5957741838208956,59.57741838208956,240.95644456155037,138.29873476328464,7.206194267286378e-10,0.8928571428571429,5.620831528483375e-08
precision,fp32,fp16,latency_avg_ms,model=resnet50,63,1.9263527838369596,1.736370428073573,2.1371217729810184,2.1290901200517083,112.90901200517082,640.5797658252874,271.1036468708226,3.121524609127162e-11,0.9623015873015873,2.4972196873017292e-09
precision,fp32,fp16,avg_power_W,model=mobilenet_v2,63,1.100009765498844,1.0760574124961606,1.1244952826317147,1.088649129384077,8.864912938407699,6.299989038069266,5.714605943531539,2.821120300623053e-08,0.8045634920634921,2.0876290224610593e-06
precision,fp32,fp16,avg_power_W,model=resnet50,63,1.2052342002247705,1.1694427738333197,1.2421210425115503,1.2112636718495504,21.126367184955043,7.977424153830058,6.6034333786533175,1.6998949836524526e-11,0.9751984126984127,1.393913886595011e-09
precision,fp32,fp16,energy_per_img_J_avg_power_times_meta_duration,model=mobilenet_v2,63,1.193578264524574,1.1551944721337553,1.2332374400251995,1.2416095140873527,24.160951408735265,0.16748099733744135,0.14376829613298905,7.856427497373004e-10,0.8908730158730159,6.049449172977213e-08
precision,fp32,fp16,energy_per_img_J_avg_power_times_meta_duration,model=resnet50,63,1.6200349625708983,1.5569752898094003,1.685648640110002,1.6695967600680222,66.95967600680221,0.30181406763185176,0.19285264916804026,5.423478845876458e-12,0.9990079365079365,4.961659021086969e-10
precision,fp32,fp16,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2,63,1.1962644813424914,1.15761367203009,1.2362057773661321,1.2389978429730673,23.899784297306724,0.17105729095238095,0.1464385296825397,5.554835227086775e-10,0.8988095238095238,4.388319829398552e-08
precision,fp32,fp16,energy_per_img_J_integrated_log_timestamps,model=resnet50,63,1.6245392333257793,1.5610733615467396,1.690585327777175,1.6856928625191763,68.56928625191763,0.30975983000000007,0.19721186428571433,5.423478845876458e-12,0.9990079365079365,4.961659021086969e-10
