prefix,model,precision,profile,batch,metric,n_devices,mean,sd,cv,min,max,max_to_min_ratio
mobilenet_v2_fp64_slow_BS1,mobilenet_v2,fp64,slow,1,energy_per_img_J_avg_power_times_meta_duration,4,0.622979049933473,0.046272038272801345,0.0742754323403695,0.5869979697110197,0.6843632364438115,1.1658698526346265
mobilenet_v2_fp64_slow_BS1,mobilenet_v2,fp64,slow,1,energy_per_img_J_integrated_log_timestamps,4,0.6253838525000001,0.046437286379596876,0.07425405404050926,0.58935733,0.6870643700000001,1.1657857381700845
mobilenet_v2_fp64_slow_BS1,mobilenet_v2,fp64,slow,1,energy_per_img_J_power_over_throughput_proxy,4,0.4822477901814126,0.041644487700230895,0.08635495806951239,0.4497637697154312,0.5406569744613813,1.2020909883503041
mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,throughput_img_s,4,11.026508828359283,0.005459887337188548,0.0004951601111628516,11.023184505271315,11.034673655316123,1.001042271408894
mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,latency_avg_ms,4,1451.0488487183893,0.7181525239959806,0.0004949196056564704,1449.9749154150795,1451.48618281303,1.0010422714088938
mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,avg_power_W,4,5.438988196611412,0.5659921893958532,0.10406203671272472,5.0078460294646066,6.242933129055516,1.2466304060316635
mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,energy_per_img_J_avg_power_times_meta_duration,4,0.6011490206011749,0.061790514745050075,0.1027873499373864,0.5545215527769728,0.6886944659905678,1.2419615838945741
mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,energy_per_img_J_integrated_log_timestamps,4,0.6110206274999999,0.06285919816808008,0.10287573829588936,0.5636855199999999,0.70007648,1.2419628590069158
mobilenet_v2_fp64_slow_BS16,mobilenet_v2,fp64,slow,16,energy_per_img_J_power_over_throughput_proxy,4,0.49324656627624175,0.05107491636868795,0.10354844789752383,0.45430120733893564,0.5657560272340169,1.245332431643593
mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,throughput_img_s,4,9.959339993192723,0.008025430454860656,0.0008058195081547666,9.954331423991952,9.97132649012548,1.0017073036258934
mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,latency_avg_ms,4,401.6332356604454,0.3233900875479878,0.000805187566253588,401.150238532573,401.83512378934773,1.0017073036258937
mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,avg_power_W,4,5.397339259982032,0.5319422183345262,0.09855637985897092,4.990053715603889,6.151743465956384,1.2328010511630154
mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,energy_per_img_J_avg_power_times_meta_duration,4,0.6564200407089534,0.0610714843120212,0.09303720259067984,0.608569404765001,0.7421734623793791,1.2195379139474967
mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,energy_per_img_J_integrated_log_timestamps,4,0.6604898100000001,0.06148422306388205,0.09308882912801038,0.61240386,0.7468471000000001,1.21953362606173
mobilenet_v2_fp64_slow_BS4,mobilenet_v2,fp64,slow,4,energy_per_img_J_power_over_throughput_proxy,4,0.541908227234191,0.052976127384708055,0.09775848514994755,0.5012302701716388,0.6169433396899002,1.230858103359634
