dataset,prefix,actual_position,base_fixed_position,previous_prefix
Clone3,resnet50_fp16_fast_BS16,58,88,resnet50_fp64_medium_BS1
Clone3,mobilenet_v2_fp64_slow_BS8,59,38,resnet50_fp16_fast_BS16
Clone3,mobilenet_v2_fp64_slow_BS1,60,36,mobilenet_v2_fp64_slow_BS8
Clone3,mobilenet_v2_fp32_fast_BS16,61,116,mobilenet_v2_fp64_slow_BS1
Clone3,mobilenet_v2_fp32_slow_BS16,62,32,mobilenet_v2_fp32_fast_BS16
Clone3,mobilenet_v2_fp32_medium_BS128,63,77,mobilenet_v2_fp32_slow_BS16
Clone3,resnet50_fp32_slow_BS32,64,12,mobilenet_v2_fp32_medium_BS128
Clone3,resnet50_fp32_medium_BS8,65,52,resnet50_fp32_slow_BS32
Clone3,mobilenet_v2_fp16_slow_BS1,66,22,resnet50_fp32_medium_BS8
Clone3,mobilenet_v2_fp64_slow_BS16,67,39,mobilenet_v2_fp16_slow_BS1
Clone3,mobilenet_v2_fp16_medium_BS128,68,70,mobilenet_v2_fp64_slow_BS16
Clone3,resnet50_fp16_slow_BS8,69,3,mobilenet_v2_fp16_medium_BS128
Clone3,mobilenet_v2_fp64_slow_BS64,70,41,resnet50_fp16_slow_BS8
Clone3,resnet50_fp16_medium_BS64,71,48,mobilenet_v2_fp64_slow_BS64
Clone3,resnet50_fp64_slow_BS16,72,18,resnet50_fp16_medium_BS64
Clone3,mobilenet_v2_fp64_fast_BS64,73,125,resnet50_fp64_slow_BS16
Clone3,mobilenet_v2_fp32_slow_BS4,74,30,mobilenet_v2_fp64_fast_BS64
Clone3,resnet50_fp64_fast_BS1,75,99,mobilenet_v2_fp32_slow_BS4
Clone3,resnet50_fp16_medium_BS16,76,46,resnet50_fp64_fast_BS1
Clone3,mobilenet_v2_fp16_slow_BS32,77,26,resnet50_fp16_medium_BS16
Clone3,resnet50_fp32_medium_BS32,78,54,mobilenet_v2_fp16_slow_BS32
Clone3,mobilenet_v2_fp64_slow_BS32,79,40,resnet50_fp32_medium_BS32
Clone3,resnet50_fp16_medium_BS32,80,47,mobilenet_v2_fp64_slow_BS32
Clone3,resnet50_fp16_slow_BS32,81,5,resnet50_fp16_medium_BS32
Clone3,resnet50_fp32_fast_BS1,82,92,resnet50_fp16_slow_BS32
Clone3,mobilenet_v2_fp32_medium_BS16,83,74,resnet50_fp32_fast_BS1
Clone3,resnet50_fp32_slow_BS8,84,10,mobilenet_v2_fp32_medium_BS16
Clone3,resnet50_fp16_medium_BS4,85,44,resnet50_fp32_slow_BS8
Clone3,resnet50_fp64_fast_BS128,86,105,resnet50_fp16_medium_BS4
Clone3,resnet50_fp16_fast_BS8,87,87,resnet50_fp64_fast_BS128
Clone3,mobilenet_v2_fp32_medium_BS1,88,71,resnet50_fp16_fast_BS8
Clone3,mobilenet_v2_fp32_medium_BS32,89,75,mobilenet_v2_fp32_medium_BS1
Clone3,mobilenet_v2_fp64_medium_BS128,90,84,mobilenet_v2_fp32_medium_BS32
Clone3,resnet50_fp16_fast_BS128,91,91,mobilenet_v2_fp64_medium_BS128
Clone3,mobilenet_v2_fp16_medium_BS64,92,69,resnet50_fp16_fast_BS128
Clone3,mobilenet_v2_fp64_medium_BS4,93,79,mobilenet_v2_fp16_medium_BS64
Clone3,mobilenet_v2_fp16_fast_BS128,94,112,mobilenet_v2_fp64_medium_BS4
Clone3,mobilenet_v2_fp64_fast_BS4,95,121,mobilenet_v2_fp16_fast_BS128
Clone3,mobilenet_v2_fp32_fast_BS8,96,115,mobilenet_v2_fp64_fast_BS4
Clone3,mobilenet_v2_fp16_slow_BS8,97,24,mobilenet_v2_fp32_fast_BS8
Clone3,mobilenet_v2_fp16_slow_BS16,98,25,mobilenet_v2_fp16_slow_BS8
Clone3,resnet50_fp64_slow_BS8,99,17,mobilenet_v2_fp16_slow_BS16
Clone3,resnet50_fp64_slow_BS64,100,20,resnet50_fp64_slow_BS8
Clone3,mobilenet_v2_fp32_slow_BS64,101,34,resnet50_fp64_slow_BS64
Clone3,mobilenet_v2_fp32_fast_BS32,102,117,mobilenet_v2_fp32_slow_BS64
Clone3,mobilenet_v2_fp64_fast_BS16,103,123,mobilenet_v2_fp32_fast_BS32
Clone3,resnet50_fp16_fast_BS64,104,90,mobilenet_v2_fp64_fast_BS16
Clone3,resnet50_fp64_medium_BS64,105,62,resnet50_fp16_fast_BS64
Clone3,resnet50_fp32_slow_BS16,106,11,resnet50_fp64_medium_BS64
Clone3,resnet50_fp64_slow_BS1,107,15,resnet50_fp32_slow_BS16
Clone3,resnet50_fp32_fast_BS64,108,97,resnet50_fp64_slow_BS1
Clone3,resnet50_fp64_medium_BS128,109,63,resnet50_fp32_fast_BS64
Clone3,mobilenet_v2_fp64_slow_BS128,110,42,resnet50_fp64_medium_BS128
Clone3,resnet50_fp64_slow_BS4,111,16,mobilenet_v2_fp64_slow_BS128
Clone3,mobilenet_v2_fp16_medium_BS16,112,67,resnet50_fp64_slow_BS4
Clone3,mobilenet_v2_fp64_fast_BS1,113,120,mobilenet_v2_fp16_medium_BS16
Clone3,mobilenet_v2_fp16_fast_BS1,114,106,mobilenet_v2_fp64_fast_BS1
Clone3,resnet50_fp32_fast_BS8,115,94,mobilenet_v2_fp16_fast_BS1
Clone3,mobilenet_v2_fp64_medium_BS8,116,80,resnet50_fp32_fast_BS8
Clone3,resnet50_fp16_slow_BS64,117,6,mobilenet_v2_fp64_medium_BS8
Clone3,mobilenet_v2_fp64_medium_BS64,118,83,resnet50_fp16_slow_BS64
Clone3,mobilenet_v2_fp32_fast_BS4,119,114,mobilenet_v2_fp64_medium_BS64
Clone3,resnet50_fp64_fast_BS16,120,102,mobilenet_v2_fp32_fast_BS4
Clone3,resnet50_fp32_medium_BS1,121,50,resnet50_fp64_fast_BS16
Clone3,resnet50_fp32_medium_BS128,122,56,resnet50_fp32_medium_BS1
Clone3,resnet50_fp64_medium_BS16,123,60,resnet50_fp32_medium_BS128
Clone3,mobilenet_v2_fp64_fast_BS32,124,124,resnet50_fp64_medium_BS16
Clone3,resnet50_fp64_medium_BS4,125,58,mobilenet_v2_fp64_fast_BS32
Clone3,resnet50_fp32_fast_BS32,126,96,resnet50_fp64_medium_BS4
MasterJetson,mobilenet_v2_fp16_fast_BS1,1,61,
MasterJetson,mobilenet_v2_fp16_medium_BS16,2,40,mobilenet_v2_fp16_fast_BS1
MasterJetson,mobilenet_v2_fp64_fast_BS4,3,70,mobilenet_v2_fp16_medium_BS16
MasterJetson,resnet50_fp32_medium_BS4,4,30,mobilenet_v2_fp64_fast_BS4
MasterJetson,mobilenet_v2_fp32_slow_BS4,5,18,resnet50_fp32_medium_BS4
MasterJetson,mobilenet_v2_fp64_medium_BS4,6,46,mobilenet_v2_fp32_slow_BS4
MasterJetson,mobilenet_v2_fp32_medium_BS1,7,41,mobilenet_v2_fp64_medium_BS4
MasterJetson,mobilenet_v2_fp64_slow_BS16,8,24,mobilenet_v2_fp32_medium_BS1
MasterJetson,mobilenet_v2_fp16_fast_BS16,9,64,mobilenet_v2_fp64_slow_BS16
MasterJetson,resnet50_fp32_slow_BS16,10,8,mobilenet_v2_fp16_fast_BS16
MasterJetson,mobilenet_v2_fp32_fast_BS16,11,68,resnet50_fp32_slow_BS16
MasterJetson,resnet50_fp32_fast_BS16,12,56,mobilenet_v2_fp32_fast_BS16
MasterJetson,mobilenet_v2_fp16_slow_BS8,13,15,resnet50_fp32_fast_BS16
MasterJetson,mobilenet_v2_fp16_medium_BS4,14,38,mobilenet_v2_fp16_slow_BS8
MasterJetson,mobilenet_v2_fp64_slow_BS8,15,23,mobilenet_v2_fp16_medium_BS4
MasterJetson,mobilenet_v2_fp32_fast_BS8,16,67,mobilenet_v2_fp64_slow_BS8
MasterJetson,mobilenet_v2_fp16_slow_BS1,17,13,mobilenet_v2_fp32_fast_BS8
MasterJetson,mobilenet_v2_fp16_fast_BS4,18,62,mobilenet_v2_fp16_slow_BS1
MasterJetson,resnet50_fp32_medium_BS16,19,32,mobilenet_v2_fp16_fast_BS4
MasterJetson,resnet50_fp64_fast_BS1,20,57,resnet50_fp32_medium_BS16
MasterJetson,resnet50_fp16_medium_BS4,21,26,resnet50_fp64_fast_BS1
MasterJetson,mobilenet_v2_fp32_medium_BS16,22,44,resnet50_fp16_medium_BS4
MasterJetson,mobilenet_v2_fp32_slow_BS16,23,20,mobilenet_v2_fp32_medium_BS16
MasterJetson,mobilenet_v2_fp32_medium_BS4,24,42,mobilenet_v2_fp32_slow_BS16
MasterJetson,resnet50_fp32_fast_BS4,25,54,mobilenet_v2_fp32_medium_BS4
MasterJetson,resnet50_fp64_medium_BS1,26,33,resnet50_fp32_fast_BS4
MasterJetson,mobilenet_v2_fp64_fast_BS1,27,69,resnet50_fp64_medium_BS1
MasterJetson,mobilenet_v2_fp64_medium_BS16,28,48,mobilenet_v2_fp64_fast_BS1
MasterJetson,mobilenet_v2_fp64_medium_BS8,29,47,mobilenet_v2_fp64_medium_BS16
MasterJetson,mobilenet_v2_fp16_medium_BS1,30,37,mobilenet_v2_fp64_medium_BS8
MasterJetson,resnet50_fp16_medium_BS8,31,27,mobilenet_v2_fp16_medium_BS1
MasterJetson,resnet50_fp64_medium_BS4,32,34,resnet50_fp16_medium_BS8
MasterJetson,mobilenet_v2_fp32_slow_BS1,33,17,resnet50_fp64_medium_BS4
MasterJetson,resnet50_fp32_medium_BS8,34,31,mobilenet_v2_fp32_slow_BS1
MasterJetson,resnet50_fp16_fast_BS8,35,51,resnet50_fp32_medium_BS8
MasterJetson,mobilenet_v2_fp32_slow_BS8,36,19,resnet50_fp16_fast_BS8
MasterJetson,resnet50_fp16_slow_BS4,37,2,mobilenet_v2_fp32_slow_BS8
MasterJetson,resnet50_fp64_fast_BS8,38,59,resnet50_fp16_slow_BS4
MasterJetson,resnet50_fp64_slow_BS4,39,10,resnet50_fp64_fast_BS8
MasterJetson,mobilenet_v2_fp32_fast_BS1,40,65,resnet50_fp64_slow_BS4
MasterJetson,resnet50_fp16_slow_BS8,41,3,mobilenet_v2_fp32_fast_BS1
MasterJetson,mobilenet_v2_fp64_fast_BS16,42,72,resnet50_fp16_slow_BS8
MasterJetson,resnet50_fp32_medium_BS1,43,29,mobilenet_v2_fp64_fast_BS16
MasterJetson,mobilenet_v2_fp64_slow_BS1,44,21,resnet50_fp32_medium_BS1
MasterJetson,resnet50_fp16_fast_BS16,45,52,mobilenet_v2_fp64_slow_BS1
MasterJetson,mobilenet_v2_fp32_fast_BS4,46,66,resnet50_fp16_fast_BS16
MasterJetson,resnet50_fp16_medium_BS1,47,25,mobilenet_v2_fp32_fast_BS4
MasterJetson,mobilenet_v2_fp16_medium_BS8,48,39,resnet50_fp16_medium_BS1
MasterJetson,resnet50_fp32_slow_BS4,49,6,mobilenet_v2_fp16_medium_BS8
MasterJetson,resnet50_fp16_fast_BS4,50,50,resnet50_fp32_slow_BS4
MasterJetson,resnet50_fp16_medium_BS16,51,28,resnet50_fp16_fast_BS4
MasterJetson,resnet50_fp16_slow_BS1,52,1,resnet50_fp16_medium_BS16
MasterJetson,resnet50_fp64_fast_BS16,53,60,resnet50_fp16_slow_BS1
MasterJetson,mobilenet_v2_fp16_slow_BS16,54,16,resnet50_fp64_fast_BS16
MasterJetson,mobilenet_v2_fp64_medium_BS1,55,45,mobilenet_v2_fp16_slow_BS16
MasterJetson,resnet50_fp64_fast_BS4,56,58,mobilenet_v2_fp64_medium_BS1
MasterJetson,resnet50_fp64_medium_BS16,57,36,resnet50_fp64_fast_BS4
MasterJetson,mobilenet_v2_fp16_fast_BS8,58,63,resnet50_fp64_medium_BS16
MasterJetson,resnet50_fp64_slow_BS1,59,9,mobilenet_v2_fp16_fast_BS8
MasterJetson,resnet50_fp64_slow_BS8,60,11,resnet50_fp64_slow_BS1
MasterJetson,resnet50_fp16_slow_BS16,61,4,resnet50_fp64_slow_BS8
MasterJetson,resnet50_fp32_fast_BS8,62,55,resnet50_fp16_slow_BS16
MasterJetson,mobilenet_v2_fp64_slow_BS4,63,22,resnet50_fp32_fast_BS8
MasterJetson,mobilenet_v2_fp32_medium_BS8,64,43,mobilenet_v2_fp64_slow_BS4
MasterJetson,resnet50_fp16_fast_BS1,65,49,mobilenet_v2_fp32_medium_BS8
MasterJetson,resnet50_fp32_slow_BS1,66,5,resnet50_fp16_fast_BS1
MasterJetson,mobilenet_v2_fp16_slow_BS4,67,14,resnet50_fp32_slow_BS1
MasterJetson,mobilenet_v2_fp64_fast_BS8,68,71,mobilenet_v2_fp16_slow_BS4
MasterJetson,resnet50_fp32_fast_BS1,69,53,mobilenet_v2_fp64_fast_BS8
MasterJetson,resnet50_fp64_slow_BS16,70,12,resnet50_fp32_fast_BS1
MasterJetson,resnet50_fp64_medium_BS8,71,35,resnet50_fp64_slow_BS16
MasterJetson,resnet50_fp32_slow_BS8,72,7,resnet50_fp64_medium_BS8
